TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TOSS_WINNER_MODEL,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,WIN_RATE_TEAM1,WIN_RATE_TEAM2,WINNER,WINNER_MODEL,AHP_RATIO_TEAM1,AHP_RATIO_TEAM2
RPS,1,KKR,0,RPS,1,249.546875,249.2779514,256.15625,259.9321925,0.3333333333333333,0.528169014084507,RPS,1,6.032793,12.745465
KXIP,1,RCB,0,RCB,0,244.2142857,268.8730159,399.4615385,309.8255495,0.471830985915493,0.4827586206896552,KXIP,1,9.380131,9.982425
RPS,1,SRH,0,SRH,0,249.546875,249.2779514,398.85714289999993,319.8769841,0.3428571428571429,0.4693877551020408,RPS,1,6.032793,9.026536
MI,1,DD,0,DD,0,265.6601307,304.0252101000001,272.3392857,275.0734127,0.5866666666666667,0.4214285714285714,MI,1,15.160852,8.076035
KKR,1,RCB,0,KKR,1,256.15625,259.9321925,399.4615385,309.8255495,0.5244755244755245,0.4794520547945205,KKR,1,12.745465,9.982425
SRH,1,MI,0,MI,0,398.85714289999993,319.8769841,265.6601307,304.0252101000001,0.4662162162162162,0.5894039735099338,SRH,1,9.026536,15.160852
KXIP,1,KKR,0,KKR,0,244.2142857,268.8730159,256.15625,259.9321925,0.4722222222222222,0.5277777777777778,KXIP,1,9.380131,12.745465
KXIP,1,MI,0,MI,0,244.2142857,268.8730159,265.6601307,304.0252101000001,0.4758620689655173,0.5855263157894737,KXIP,1,9.380131,15.160852
DD,1,RPS,0,DD,1,272.3392857,275.0734127,249.546875,249.2779514,0.4225352112676056,0.35211267605633795,DD,1,8.076035,6.032793
MI,1,KKR,0,KKR,0,265.6601307,304.0252101000001,256.15625,259.9321925,0.5816993464052288,0.5241379310344828,MI,1,15.160852,12.745465
RPS,1,KXIP,0,RPS,1,249.546875,249.2779514,244.2142857,268.8730159,0.3472222222222222,0.4794520547945205,RPS,1,6.032793,9.380131
RCB,1,DD,0,RCB,1,399.4615385,309.8255495,272.3392857,275.0734127,0.4761904761904762,0.42657342657342656,RCB,1,9.982425,8.076035
RPS,1,MI,0,MI,0,249.546875,249.2779514,265.6601307,304.0252101000001,0.3561643835616438,0.5844155844155844,RPS,1,6.032793,15.160852
KKR,1,SRH,0,KKR,1,256.15625,259.9321925,398.85714289999993,319.8769841,0.5205479452054794,0.4733333333333333,KKR,1,12.745465,9.026536
MI,1,KKR,0,MI,1,265.6601307,304.0252101000001,256.15625,259.9321925,0.5806451612903226,0.5238095238095238,MI,1,15.160852,12.745465
MI,1,RPS,0,MI,1,265.6601307,304.0252101000001,249.546875,249.2779514,0.5833333333333334,0.3648648648648649,MI,1,15.160852,6.032793
MI,1,CSK,0,CSK,0,334.6607143,296.8314626,275.3011364,322.2376736,0.5859872611464968,0.6076923076923076,CSK,0,15.160852,16.900712
DD,1,KXIP,0,KXIP,0,317.25,278.9384921,313.6047619,310.1144841,0.4236111111111111,0.4761904761904762,KXIP,0,8.076035,9.380131
RCB,1,KKR,0,KKR,0,337.4404762000001,299.8255952,268.73660710000007,246.5041667,0.4797297297297297,0.5202702702702703,KKR,0,9.982425,12.745465
RR,1,SRH,0,SRH,0,307.76,261.4831481,276.73529410000003,229.8008403,0.5431034482758621,0.4701986754966888,SRH,0,12.695051,9.026536
