learning_rate,max_depth,min_child_weight,gamma,colsample_bytree,Ambiguity,Real Test Accuracy,Train Accuracy
0.25,5,1,0.2,0.4,10.924363636363637,49.528363636363636,100.0
0.25,5,1,0.2,0.7,11.696727272727273,49.293454545454544,100.0
0.25,5,3,0.0,0.3,8.675454545454546,50.73599999999999,100.0
0.25,5,3,0.0,0.4,8.64527272727273,50.84381818181817,100.0
0.25,5,3,0.0,0.7,8.485090909090909,50.789090909090916,100.0
0.25,5,3,0.1,0.3,9.36636363636364,50.414727272727255,100.0
0.25,5,3,0.1,0.4,9.398909090909093,50.279818181818165,100.0
0.25,5,3,0.1,0.7,9.260181818181819,50.25600000000001,100.0
0.25,5,3,0.2,0.3,9.634181818181816,49.95890909090909,100.0
0.25,5,3,0.2,0.4,11.378909090909094,49.15363636363635,100.0
0.25,5,3,0.2,0.7,10.360727272727273,49.66454545454544,100.0
0.25,6,1,0.0,0.3,8.190000000000001,51.54018181818183,100.0
0.25,6,1,0.0,0.4,8.403090909090908,51.16472727272728,100.0
0.25,6,1,0.0,0.7,9.098909090909093,51.006000000000014,100.0
0.25,6,1,0.1,0.3,9.851636363636366,51.00236363636364,100.0
0.25,6,1,0.1,0.4,10.037454545454546,50.09327272727271,100.0
0.25,6,1,0.1,0.7,10.547818181818183,50.36181818181817,100.0
0.25,6,1,0.2,0.3,11.458727272727275,49.66200000000001,100.0
0.25,6,1,0.2,0.4,11.540545454545455,49.637272727272716,100.0
0.25,6,1,0.2,0.7,10.94945454545455,50.20254545454545,100.0
0.25,6,3,0.0,0.3,9.018363636363636,50.92363636363635,100.0
0.25,6,3,0.0,0.4,8.35418181818182,51.644,100.0
0.25,6,3,0.0,0.7,8.995272727272729,51.191818181818185,100.0
0.25,6,3,0.1,0.3,10.467818181818185,49.772181818181814,100.0
0.25,6,3,0.1,0.4,9.691090909090912,50.7610909090909,100.0
0.25,6,3,0.1,0.7,9.850727272727275,50.36181818181819,100.0
0.25,6,3,0.2,0.3,9.742545454545455,50.52018181818184,100.0
0.25,6,3,0.2,0.4,10.225636363636365,50.227454545454535,100.0
0.25,6,3,0.2,0.7,10.628363636363634,49.90727272727271,100.0
