learning_rate,n_estimators,Ambiguity,Real Test Accuracy,Train Accuracy
0.05,100,5.460727272727271,57.63945454545455,63.88454545454545
0.05,50,3.1596363636363627,58.068,62.775272727272736
0.05,20,2.597454545454545,57.638000000000005,61.92109090909091
0.05,10,6.56309090909091,55.12109090909092,61.4589090909091
0.02,100,2.19490909090909,58.523818181818186,62.47909090909092
0.02,50,2.196545454545454,57.74545454545456,61.88490909090908
0.02,20,6.0849090909090915,54.79763636363637,61.308909090909104
0.02,10,13.850545454545452,49.55109090909091,60.2567272727273
