,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
28,88,2008,Kolkata,KKR,KKR,1,RCB,0,KKR,260.61538461538464,221.18473193473199,226.7142857142857,279.9148732220161,bat,normal,KKR,5,1,1,1,1,0.333333333,0.28571428600000004
29,89,2008,Jaipur,RR,SRH,1,RR,0,RR,265.92857142857144,248.20059523809525,341.5625,248.5443046536797,field,normal,RR,0,0,0,0,0,0.28571428600000004,0.7142857140000001
30,90,2008,Bangalore,RCB,RCB,1,MI,0,MI,226.7142857142857,279.9148732220161,289.7857142857143,333.8474025974025,field,normal,MI,0,0,0,0,1,0.25,0.428571429
31,91,2008,Chennai,CSK,CSK,1,KXIP,0,KXIP,276.6875,258.8159722222222,311.46666666666664,229.62087542087542,field,normal,CSK,18,0,1,0,1,0.625,0.7142857140000001
32,92,2008,Hyderabad,SRH,KKR,1,SRH,0,KKR,260.61538461538464,221.18473193473199,265.92857142857144,248.20059523809525,bat,normal,KKR,23,1,1,1,0,0.428571429,0.25
33,93,2008,Jaipur,RR,DD,1,RR,0,RR,300.7857142857143,301.87608225108227,341.5625,248.5443046536797,field,normal,RR,0,0,0,0,0,0.571428571,0.75
34,94,2008,Chandigarh,KXIP,RCB,1,KXIP,0,RCB,226.7142857142857,279.9148732220161,311.46666666666664,229.62087542087542,bat,normal,KXIP,0,1,0,1,0,0.222222222,0.625
35,95,2008,Kolkata,KKR,KKR,1,DD,0,KKR,260.61538461538464,221.18473193473199,300.7857142857143,301.87608225108227,bat,normal,KKR,23,1,1,1,1,0.5,0.5
36,96,2008,Mumbai,MI,CSK,1,MI,0,MI,276.6875,258.8159722222222,289.7857142857143,333.8474025974025,field,normal,MI,0,0,0,0,0,0.666666667,0.5
37,97,2008,Chandigarh,KXIP,KXIP,1,RR,0,RR,311.46666666666664,229.62087542087542,341.5625,248.5443046536797,field,normal,KXIP,41,0,1,0,1,0.666666667,0.7777777779999999
38,98,2008,Delhi,DD,DD,1,SRH,0,SRH,300.7857142857143,301.87608225108227,265.92857142857144,248.20059523809525,field,normal,DD,12,0,1,0,1,0.444444444,0.222222222
39,99,2008,Mumbai,MI,KKR,1,MI,0,MI,260.61538461538464,221.18473193473199,289.7857142857143,333.8474025974025,field,normal,MI,0,0,0,0,0,0.5555555560000001,0.5555555560000001
40,100,2008,Delhi,DD,DD,1,KXIP,0,DD,300.7857142857143,301.87608225108227,311.46666666666664,229.62087542087542,bat,normal,KXIP,6,1,0,1,1,0.5,0.7
41,101,2008,Jaipur,RR,RR,1,RCB,0,RCB,341.5625,248.5443046536797,226.7142857142857,279.9148732220161,field,normal,RR,65,0,1,0,1,0.7,0.2
42,102,2008,Hyderabad,SRH,MI,1,SRH,0,SRH,289.7857142857143,333.8474025974025,265.92857142857144,248.20059523809525,field,normal,MI,25,0,1,0,0,0.6,0.2
43,103,2008,Kolkata,KKR,KKR,1,CSK,0,KKR,260.61538461538464,221.18473193473199,276.6875,258.8159722222222,bat,normal,CSK,3,1,0,1,1,0.5,0.6
44,104,2008,Bangalore,RCB,RCB,1,DD,0,DD,226.7142857142857,279.9148732220161,300.7857142857143,301.87608225108227,field,normal,DD,0,0,0,0,1,0.181818182,0.454545455
45,105,2008,Kolkata,KKR,KKR,1,RR,0,RR,260.61538461538464,221.18473193473199,341.5625,248.5443046536797,field,normal,RR,0,0,0,0,1,0.454545455,0.727272727
46,106,2008,Mumbai,MI,KXIP,1,MI,0,MI,311.46666666666664,229.62087542087542,289.7857142857143,333.8474025974025,field,normal,KXIP,1,0,1,0,0,0.727272727,0.636363636
47,107,2008,Chennai,CSK,RCB,1,CSK,0,RCB,226.7142857142857,279.9148732220161,276.6875,258.8159722222222,bat,normal,RCB,14,1,1,1,0,0.166666667,0.636363636
48,108,2008,Chandigarh,KXIP,SRH,1,KXIP,0,KXIP,265.92857142857144,248.20059523809525,311.46666666666664,229.62087542087542,field,normal,KXIP,0,0,0,0,0,0.181818182,0.75
49,109,2008,Delhi,DD,MI,1,DD,0,DD,289.7857142857143,333.8474025974025,300.7857142857143,301.87608225108227,field,normal,DD,0,0,0,0,0,0.583333333,0.5
50,110,2008,Chennai,CSK,RR,1,CSK,0,RR,341.5625,248.5443046536797,276.6875,258.8159722222222,bat,normal,RR,10,1,1,1,0,0.75,0.583333333
51,111,2008,Bangalore,RCB,RCB,1,SRH,0,SRH,226.7142857142857,279.9148732220161,265.92857142857144,248.20059523809525,field,normal,RCB,3,0,1,0,1,0.23076923100000002,0.166666667
52,112,2008,Kolkata,KKR,KXIP,1,KKR,0,KXIP,311.46666666666664,229.62087542087542,260.61538461538464,221.18473193473199,bat,normal,KKR,0,1,0,1,0,0.7692307690000001,0.41666666700000005
53,113,2008,Jaipur,RR,MI,1,RR,0,RR,289.7857142857143,333.8474025974025,341.5625,248.5443046536797,field,normal,RR,0,0,0,0,0,0.538461538,0.7692307690000001
54,114,2008,Hyderabad,SRH,SRH,1,CSK,0,SRH,265.92857142857144,248.20059523809525,276.6875,258.8159722222222,bat,normal,CSK,0,1,0,1,1,0.153846154,0.538461538
55,115,2008,Mumbai,MI,RR,1,DD,0,DD,341.5625,248.5443046536797,300.7857142857143,301.87608225108227,field,normal,RR,105,0,1,0,2,0.7857142859999999,0.538461538
56,116,2008,Mumbai,MI,KXIP,1,CSK,0,KXIP,311.46666666666664,229.62087542087542,276.6875,258.8159722222222,bat,normal,CSK,0,1,0,1,2,0.7142857140000001,0.571428571
