ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL
63,2008,Mumbai,MI,RCB,1,MI,0,MI,bat,normal,RCB,0,0,1,1,0
64,2008,Kolkata,KKR,KKR,1,SRH,0,SRH,bat,normal,KKR,0,0,1,1,1
65,2008,Jaipur,RR,RR,1,KXIP,0,KXIP,bat,normal,RR,0,0,1,1,1
66,2008,Hyderabad,SRH,DD,1,SRH,0,SRH,bat,normal,DD,0,0,1,1,0
67,2008,Chennai,CSK,CSK,1,MI,0,MI,field,normal,CSK,6,0,1,0,1
68,2008,Hyderabad,SRH,RR,1,SRH,0,RR,field,normal,RR,0,1,1,0,0
69,2008,Chandigarh,KXIP,KXIP,1,MI,0,MI,field,normal,KXIP,66,0,1,0,1
70,2008,Bangalore,RCB,RR,1,RCB,0,RR,field,normal,RR,0,1,1,0,0
71,2008,Chennai,CSK,CSK,1,KKR,0,KKR,bat,normal,CSK,0,0,1,1,1
72,2008,Mumbai,MI,MI,1,SRH,0,SRH,field,normal,SRH,0,0,0,0,1
73,2008,Chandigarh,KXIP,DD,1,KXIP,0,DD,bat,normal,KXIP,0,1,0,1,0
74,2008,Bangalore,RCB,CSK,1,RCB,0,CSK,bat,normal,CSK,13,1,1,1,0
75,2008,Kolkata,KKR,KKR,1,MI,0,KKR,bat,normal,MI,0,1,0,1,1
76,2008,Delhi,DD,DD,1,RCB,0,RCB,field,normal,DD,10,0,1,0,1
77,2008,Hyderabad,SRH,SRH,1,KXIP,0,KXIP,field,normal,KXIP,0,0,0,0,1
78,2008,Jaipur,RR,RR,1,KKR,0,RR,bat,normal,RR,45,1,1,1,1
79,2008,Chennai,CSK,CSK,1,DD,0,CSK,bat,normal,DD,0,1,0,1,1
80,2008,Hyderabad,SRH,SRH,1,RCB,0,SRH,bat,normal,RCB,0,1,0,1,1
81,2008,Chandigarh,KXIP,KXIP,1,KKR,0,KXIP,bat,normal,KXIP,9,1,1,1,1
82,2008,Mumbai,MI,MI,1,DD,0,DD,field,normal,MI,29,0,1,0,1
83,2008,Jaipur,RR,CSK,1,RR,0,CSK,bat,normal,RR,0,1,0,1,0
84,2008,Bangalore,RCB,RCB,1,KXIP,0,KXIP,field,normal,KXIP,0,0,0,0,1
85,2008,Chennai,CSK,CSK,1,SRH,0,SRH,field,normal,SRH,0,0,0,0,1
86,2008,Mumbai,MI,RR,1,MI,0,MI,field,normal,MI,0,0,0,0,0
87,2008,Delhi,DD,DD,1,CSK,0,CSK,field,normal,CSK,0,0,0,0,1
88,2008,Kolkata,KKR,KKR,1,RCB,0,KKR,bat,normal,KKR,5,1,1,1,1
89,2008,Jaipur,RR,SRH,1,RR,0,RR,field,normal,RR,0,0,0,0,0
90,2008,Bangalore,RCB,RCB,1,MI,0,MI,field,normal,MI,0,0,0,0,1
91,2008,Chennai,CSK,CSK,1,KXIP,0,KXIP,field,normal,CSK,18,0,1,0,1
