,Unnamed: 0,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TEAM1_RunsperOver,TEAM1_RunsperWicket,TEAM1_BattingIndex,TEAM1_RunsconcededperOver,TEAM1_RunsconcededperWicket,TEAM1_BowlingIndex,TEAM1_BattingWicketRate,TEAM1_BowlingWicketRate,TEAM1_RunsperWicket_6Batsmen,TEAM1_RunsperWicket_4Batsmen,TEAM1_RunsperWicket_2Batsmen,TEAM1_Runsperball_6Batsmen,TEAM1_Runsperball_4Batsmen,TEAM1_Runsperball_2Batsmen,TEAM1_RunsconcedeperWicket_5Bowler,TEAM1_RunsconcedeperWicket_3Bowler,TEAM1_RunsconcedeperOver_5Bowler,TEAM1_RunsconcedeperOver_3Bowler,TEAM1_BallsbowledperWicket_5Bowler,TEAM1_BallsbowledperWicket_3Bowler,TEAM2_Team_Strength,TEAM2_Cumulative_Team_Strength,TEAM2_RunsperOver,TEAM2_RunsperWicket,TEAM2_BattingIndex,TEAM2_RunsconcededperOver,TEAM2_RunsconcededperWicket,TEAM2_BowlingIndex,TEAM2_BattingWicketRate,TEAM1_Team_Strength,TEAM2_BowlingWicketRate,TEAM2_RunsperWicket_6Batsmen,TEAM2_RunsperWicket_4Batsmen,TEAM2_RunsperWicket_2Batsmen,TEAM2_Runsperball_6Batsmen,TEAM2_Runsperball_4Batsmen,TEAM2_Runsperball_2Batsmen,TEAM2_RunsconcedeperWicket_5Bowler,TEAM2_RunsconcedeperWicket_3Bowler,TEAM2_RunsconcedeperOver_5Bowler,TEAM2_RunsconcedeperOver_3Bowler,TEAM2_BallsbowledperWicket_5Bowler,TEAM2_BallsbowledperWicket_3Bowler,TEAM1_Cumulative_Team_Strength,TOSS_WINNER,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
0,0,60,2008,Bangalore,RCB,KKR,1,RCB,0,,,,,,,,,,,,,,,,,,,,,32.413063010984395,32.41306301098438,,,,,,,,33.341084153202296,,,,,,,,,,,,,,33.341084153202296,RCB,,,,,field,normal,KKR,140,0,1,0,0,0.0,0.0
1,1,61,2008,Chandigarh,KXIP,CSK,1,KXIP,0,,,,,,,,,,,,,,,,,,,,,31.887452444811448,31.887452444811444,,,,,,,,28.477333119216272,,,,,,,,,,,,,,28.477333119216272,CSK,,,,,bat,normal,CSK,33,1,1,1,0,0.0,0.0
2,2,62,2008,Delhi,DD,DD,1,RR,0,,,,,,,,,,,,,,,,,,,,,29.72823347756345,29.72823347756345,,,,,,,,32.647935190921004,,,,,,,,,,,,,,32.647935190921004,RR,,,,,bat,normal,DD,0,0,1,1,1,0.0,0.0
3,3,63,2008,Mumbai,MI,RCB,1,MI,0,,,,,,,,,,,,,,,,,,,,,35.054257839606784,35.054257839606784,,,,,,,,32.413063010984395,,,,,,,,,,,,,,32.41306301098438,MI,,,,,bat,normal,RCB,0,0,1,1,0,0.0,0.0
4,4,64,2008,Kolkata,KKR,KKR,1,SRH,0,,,,,,,,,,,,,,,,,,,,,33.358980869659874,33.358980869659874,,,,,,,,33.341084153202296,,,,,,,,,,,,,,33.341084153202296,SRH,,,,,bat,normal,KKR,0,0,1,1,1,1.0,0.0
5,5,65,2008,Jaipur,RR,RR,1,KXIP,0,,,,,,,,,,,,,,,,,,,,,31.887452444811448,31.887452444811444,,,,,,,,29.72823347756345,,,,,,,,,,,,,,29.72823347756345,KXIP,,,,,bat,normal,RR,0,0,1,1,1,0.0,0.0
6,6,66,2008,Hyderabad,SRH,DD,1,SRH,0,,,,,,,,,,,,,,,,,,,,,33.358980869659874,33.358980869659874,,,,,,,,32.647935190921004,,,,,,,,,,,,,,32.647935190921004,SRH,,,,,bat,normal,DD,0,0,1,1,0,1.0,0.0
7,7,67,2008,Chennai,CSK,CSK,1,MI,0,,,,,,,,,,,,,,,,,,,,,35.054257839606784,35.054257839606784,,,,,,,,28.477333119216272,,,,,,,,,,,,,,28.477333119216272,MI,,,,,field,normal,CSK,6,0,1,0,1,1.0,0.0
8,8,68,2008,Hyderabad,SRH,RR,1,SRH,0,,,,,,,,,,,,,,,,,,,,,33.358980869659874,33.358980869659874,,,,,,,,29.72823347756345,,,,,,,,,,,,,,29.72823347756345,RR,,,,,field,normal,RR,0,1,1,0,0,0.5,0.0
9,9,69,2008,Chandigarh,KXIP,KXIP,1,MI,0,,,,,,,,,,,,,,,,,,,,,35.054257839606784,35.054257839606784,,,,,,,,31.887452444811448,,,,,,,,,,,,,,31.887452444811444,MI,,,,,field,normal,KXIP,66,0,1,0,1,0.0,0.0
