Team,Year,Team_strength,Cumulative_team_strength,Team AHP value,Team AHP mean,Team AHP median
csk,2008,59.93580563635665,59.93580563635665,16.900712,1.521064,1.693047
csk,2009,91.5594331060918,91.5594331060918,16.900712,1.521064,1.693047
csk,2010,67.31220238083334,84.11822916645833,16.900712,1.521064,1.693047
csk,2011,60.55345305752977,64.7656599474256,16.900712,1.521064,1.693047
csk,2012,88.89516579947369,68.13108067006893,16.900712,1.521064,1.693047
csk,2013,46.354972914497345,51.04622959781218,16.900712,1.521064,1.693047
csk,2014,64.84931335544644,73.24688942670832,16.900712,1.521064,1.693047
csk,2015,80.98325163411766,64.59867394749301,16.900712,1.521064,1.693047
csk,2018,78.59124972181817,63.23867429106945,16.900712,1.521064,1.693047
csk,2019,72.72867647058824,60.00632899192692,16.900712,1.521064,1.693047
dd,2008,48.69626384277976,48.69626384277976,8.076035,0.726843,0.809025
dd,2009,59.17745384286666,59.17745384286666,8.076035,0.726843,0.809025
dd,2010,93.51242346957144,87.99575680171431,8.076035,0.726843,0.809025
dd,2011,66.11454369002267,57.74156498240363,8.076035,0.726843,0.809025
dd,2012,34.694281115476194,33.86856493362433,8.076035,0.726843,0.809025
dd,2013,73.230580356875,57.623258266458336,8.076035,0.726843,0.809025
dd,2014,73.91480112627978,65.49884070273811,8.076035,0.726843,0.809025
dd,2015,49.51035482380953,54.01718558755272,8.076035,0.726843,0.809025
dd,2016,67.4221827035119,55.871518816785716,8.076035,0.726843,0.809025
dd,2017,58.69999613505953,51.62489108792064,8.076035,0.726843,0.809025
dd,2018,53.349228153571424,56.24961980917347,8.076035,0.726843,0.809025
dd,2019,99.14629464335623,58.65114177521276,8.076035,0.726843,0.809025
gl,2016,47.380424783783475,51.73000891694718,,,
gl,2017,55.97647392295919,66.0008615243254,,,
kkr,2008,58.325629528630714,58.325629528630714,12.745465,1.147092,1.27679
kkr,2009,46.95524520157843,46.95524520157843,12.745465,1.147092,1.27679
kkr,2010,64.61714852832539,58.063482946857135,12.745465,1.147092,1.27679
kkr,2011,38.90318292825,42.519895105138886,12.745465,1.147092,1.27679
kkr,2012,59.981977868529405,53.199433697573525,12.745465,1.147092,1.27679
kkr,2013,73.39606676052084,64.60142399754167,12.745465,1.147092,1.27679
kkr,2014,39.079769032421865,49.436666361708326,12.745465,1.147092,1.27679
kkr,2015,76.77379009834615,61.19172042155678,12.745465,1.147092,1.27679
kkr,2016,74.35932595211109,64.50998042598016,12.745465,1.147092,1.27679
kkr,2017,50.460164835625,59.13528343826786,12.745465,1.147092,1.27679
kkr,2018,52.030525649910714,51.82796040756249,12.745465,1.147092,1.27679
kkr,2019,63.69812925428572,68.57613969458102,12.745465,1.147092,1.27679
ktk,2011,67.9547805364935,60.89898249864285,,,
kxip,2008,37.86502001083704,37.86502001083704,9.380131,0.844212,0.939665
kxip,2009,71.73765117190476,71.73765117190476,9.380131,0.844212,0.939665
kxip,2010,65.26066360853741,77.95039424857143,9.380131,0.844212,0.939665
kxip,2011,46.850595238095245,46.69371273559523,9.380131,0.844212,0.939665
kxip,2012,56.75369734454167,57.12717519020834,9.380131,0.844212,0.939665
kxip,2013,64.78809523794642,66.84746347422768,9.380131,0.844212,0.939665
kxip,2014,61.908905226568635,65.85770258943137,9.380131,0.844212,0.939665
kxip,2015,102.36939102535713,91.42320896758505,9.380131,0.844212,0.939665
kxip,2016,41.86748846571428,72.99196765518708,9.380131,0.844212,0.939665
kxip,2017,44.503809523571434,69.58821265633928,9.380131,0.844212,0.939665
kxip,2018,50.619690703880956,61.52387124879762,9.380131,0.844212,0.939665
kxip,2019,62.31730570857143,63.167851443571436,9.380131,0.844212,0.939665
mi,2008,64.23128508398268,64.23128508398268,15.160852,1.364477,1.518754
mi,2009,77.05937118333334,77.05937118333333,15.160852,1.364477,1.518754
mi,2010,51.128863348041676,63.152790176354166,15.160852,1.364477,1.518754
mi,2011,44.4535308446875,51.25739321385418,15.160852,1.364477,1.518754
mi,2012,92.7331322272549,61.029837543529425,15.160852,1.364477,1.518754
mi,2013,62.32689678642858,67.85474306239348,15.160852,1.364477,1.518754
mi,2014,55.318800906533326,57.540591238533345,15.160852,1.364477,1.518754
mi,2015,66.06731558374999,60.186528590270825,15.160852,1.364477,1.518754
mi,2016,51.37780894732143,54.85562280014882,15.160852,1.364477,1.518754
mi,2017,55.202964518431365,53.959431269582154,15.160852,1.364477,1.518754
mi,2018,49.115514792589295,56.774488234950674,15.160852,1.364477,1.518754
mi,2019,66.26484279333334,62.42043441827258,15.160852,1.364477,1.518754
rcb,2008,41.83128093293259,41.83128093293259,9.982425,0.898418,1.0
rcb,2009,42.90003663893229,42.90003663893229,9.982425,0.898418,1.0
rcb,2010,32.45347673125,32.2956067371875,9.982425,0.898418,1.0
rcb,2011,48.28644497875001,54.74941620885416,9.982425,0.898418,1.0
rcb,2012,71.38121811229166,67.32219351421874,9.982425,0.898418,1.0
rcb,2013,50.522605519985134,52.689035409208344,9.982425,0.898418,1.0
rcb,2014,62.64333090505102,69.27816350423811,9.982425,0.898418,1.0
rcb,2015,53.2450377740625,52.464116236458324,9.982425,0.898418,1.0
rcb,2016,79.9627976191667,67.71404665544644,9.982425,0.898418,1.0
rcb,2017,110.96602564076923,75.82048205948715,9.982425,0.898418,1.0
rcb,2018,67.77059884595239,80.95775691080952,9.982425,0.898418,1.0
rcb,2019,72.75953540521428,74.11298750548703,9.982425,0.898418,1.0
rps,2011,58.64733674638322,57.65744172019273,6.032793,0.542951,0.604341
rps,2012,54.88718384794643,55.393756095186006,6.032793,0.542951,0.604341
rps,2013,58.03156622036459,55.171192002197905,6.032793,0.542951,0.604341
rps,2016,66.33347550266157,75.17487593426445,6.032793,0.542951,0.604341
rps,2017,79.0413954678125,62.99854013588541,6.032793,0.542951,0.604341
rr,2008,50.93148788488122,50.93148788488122,12.695051,1.142555,1.27174
rr,2009,76.5279956161859,76.5279956161859,12.695051,1.142555,1.27174
rr,2010,56.17853323928572,64.72912385214285,12.695051,1.142555,1.27174
rr,2011,55.719205580368296,52.46669719102564,12.695051,1.142555,1.27174
rr,2012,54.04221681057291,54.128025793276045,12.695051,1.142555,1.27174
rr,2013,77.81147486777778,58.49538239506481,12.695051,1.142555,1.27174
rr,2014,64.03061355285715,56.61655890387179,12.695051,1.142555,1.27174
rr,2015,55.85959675285714,53.001187779226186,12.695051,1.142555,1.27174
rr,2018,63.34877705653333,47.58678234304443,12.695051,1.142555,1.27174
rr,2019,55.73643380367347,61.627351616129154,12.695051,1.142555,1.27174
srh,2008,44.8406289588818,44.8406289588818,9.026536,0.812388,0.904243
srh,2009,41.53800595177083,41.53800595177083,9.026536,0.812388,0.904243
srh,2010,46.45023437490625,43.57182415646875,9.026536,0.812388,0.904243
srh,2011,47.176649540095255,50.38733330116667,9.026536,0.812388,0.904243
srh,2012,51.169061355055554,54.8841366495,9.026536,0.812388,0.904243
srh,2013,36.01220471538922,33.88020038812745,9.026536,0.812388,0.904243
srh,2014,54.118219082857145,45.0803894715,9.026536,0.812388,0.904243
srh,2015,68.54215797407313,55.679934945270425,9.026536,0.812388,0.904243
srh,2016,63.017226889333344,56.87642970915547,9.026536,0.812388,0.904243
srh,2017,114.8921551945238,106.52101362830356,9.026536,0.812388,0.904243
srh,2018,92.93589743411763,78.79520946217087,9.026536,0.812388,0.904243
srh,2019,53.40378689086665,66.49729727697488,9.026536,0.812388,0.904243
