,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
0,1,2017,Hyderabad,SRH,SRH,1,RCB,0,RCB,-0.4488393120667694,-1.4471774282578154,0.5807711651179815,-0.09475304931615604,field,normal,SRH,35,0,1,0,1,0.1097560975609756,0.11846689895470384
1,2,2017,Pune,RPS,RPS,1,MI,0,RPS,0.20896574393002024,0.8848368802401997,2.32393381598782,2.9725188634774025,field,normal,RPS,0,1,1,0,1,0.02961672473867596,0.13937282229965156
2,3,2017,Rajkot,GL,KKR,1,GL,0,KKR,-0.2418293551487826,0.08680417132292668,0.30969496988904593,0.11635132629166502,field,normal,KKR,0,1,1,0,0,0.11846689895470384,0.0156794425087108
3,4,2017,Indore,Indore,KXIP,1,RPS,0,KXIP,-0.00039943763260663677,0.8653518783631032,0.20896574393002024,0.8848368802401997,field,normal,KXIP,0,1,1,0,2,0.1097560975609756,0.02961672473867596
4,5,2017,Bangalore,RCB,RCB,1,DD,0,RCB,0.5807711651179815,-0.09475304931615604,0.7698392832513526,0.6419005344811712,bat,normal,RCB,15,1,1,1,1,0.11846689895470384,0.09581881533101046
5,6,2017,Hyderabad,SRH,SRH,1,GL,0,SRH,-0.4488393120667694,-1.4471774282578154,0.30969496988904593,0.11635132629166502,field,normal,SRH,0,1,1,0,1,0.1097560975609756,0.0156794425087108
6,7,2017,Mumbai,MI,MI,1,KKR,0,MI,2.32393381598782,2.9725188634774025,-0.2418293551487826,0.08680417132292668,field,normal,MI,0,1,1,0,1,0.13937282229965156,0.11846689895470384
7,8,2017,Indore,Indore,KXIP,1,RCB,0,RCB,-0.00039943763260663677,0.8653518783631032,0.5807711651179815,-0.09475304931615604,bat,normal,KXIP,0,0,1,1,2,0.1097560975609756,0.11846689895470384
8,9,2017,Pune,RPS,DD,1,RPS,0,RPS,0.7698392832513526,0.6419005344811712,0.20896574393002024,0.8848368802401997,field,normal,DD,97,0,1,0,0,0.09581881533101046,0.02961672473867596
9,10,2017,Mumbai,MI,MI,1,SRH,0,MI,2.32393381598782,2.9725188634774025,-0.4488393120667694,-1.4471774282578154,field,normal,MI,0,1,1,0,1,0.13937282229965156,0.1097560975609756
10,11,2017,Kolkata,KKR,KKR,1,KXIP,0,KKR,-0.2418293551487826,0.08680417132292668,-0.00039943763260663677,0.8653518783631032,field,normal,KKR,0,1,1,0,1,0.11846689895470384,0.1097560975609756
