,Unnamed: 0,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TEAM1_RunsperOver,TEAM1_RunsperWicket,TEAM1_BattingIndex,TEAM1_RunsconcededperOver,TEAM1_RunsconcededperWicket,TEAM1_BowlingIndex,TEAM1_BattingWicketRate,TEAM1_BowlingWicketRate,TEAM1_RunsperWicket_6Batsmen,TEAM1_RunsperWicket_4Batsmen,TEAM1_RunsperWicket_2Batsmen,TEAM1_Runsperball_6Batsmen,TEAM1_Runsperball_4Batsmen,TEAM1_Runsperball_2Batsmen,TEAM1_RunsconcedeperWicket_5Bowler,TEAM1_RunsconcedeperWicket_3Bowler,TEAM1_RunsconcedeperOver_5Bowler,TEAM1_RunsconcedeperOver_3Bowler,TEAM1_BallsbowledperWicket_5Bowler,TEAM1_BallsbowledperWicket_3Bowler,TEAM2_RunsperOver,TEAM2_RunsperWicket,TEAM2_BattingIndex,TEAM2_RunsconcededperOver,TEAM2_RunsconcededperWicket,TEAM2_BowlingIndex,TEAM2_BattingWicketRate,TOSS_WINNER,TEAM2_BowlingWicketRate,TEAM2_RunsperWicket_6Batsmen,TEAM2_RunsperWicket_4Batsmen,TEAM2_RunsperWicket_2Batsmen,TEAM2_Runsperball_6Batsmen,TEAM2_Runsperball_4Batsmen,TEAM2_Runsperball_2Batsmen,TEAM2_RunsconcedeperWicket_5Bowler,TEAM2_RunsconcedeperWicket_3Bowler,TEAM2_RunsconcedeperOver_5Bowler,TEAM2_RunsconcedeperOver_3Bowler,TEAM2_BallsbowledperWicket_5Bowler,TEAM2_BallsbowledperWicket_3Bowler,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
20,20,80,2008,Hyderabad,SRH,SRH,1,RCB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRH,,,,,,,,,,,,,,,,,,bat,normal,RCB,0,1,0,1,1,0.2,0.2
21,21,81,2008,Chandigarh,KXIP,KXIP,1,KKR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,KXIP,,,,,,,,,,,,,,,,,,bat,normal,KXIP,9,1,1,1,1,0.6,0.4
22,22,82,2008,Mumbai,MI,MI,1,DD,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,DD,,,,,,,,,,,,,,,,,,field,normal,MI,29,0,1,0,1,0.2,0.8
23,23,83,2008,Jaipur,RR,CSK,1,RR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,CSK,,,,,,,,,,,,,,,,,,bat,normal,RR,0,1,0,1,0,0.8,0.8
24,24,84,2008,Bangalore,RCB,RCB,1,KXIP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,KXIP,,,,,,,,,,,,,,,,,,field,normal,KXIP,0,0,0,0,1,0.3333333333333333,0.6666666666666666
25,25,85,2008,Chennai,CSK,CSK,1,SRH,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRH,,,,,,,,,,,,,,,,,,field,normal,SRH,0,0,0,0,1,0.6666666666666666,0.16666666666666666
26,26,86,2008,Mumbai,MI,RR,1,MI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI,,,,,,,,,,,,,,,,,,field,normal,MI,0,0,0,0,0,0.8333333333333334,0.3333333333333333
27,27,87,2008,Delhi,DD,DD,1,CSK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,CSK,,,,,,,,,,,,,,,,,,field,normal,CSK,0,0,0,0,1,0.6666666666666666,0.5714285714285714
28,28,88,2008,Kolkata,KKR,KKR,1,RCB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,KKR,,,,,,,,,,,,,,,,,,bat,normal,KKR,5,1,1,1,1,0.3333333333333333,0.2857142857142857
29,29,89,2008,Jaipur,RR,SRH,1,RR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,,,,,,,,,,,,,,field,normal,RR,0,0,0,0,0,0.2857142857142857,0.7142857142857143
30,30,90,2008,Bangalore,RCB,RCB,1,MI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI,,,,,,,,,,,,,,,,,,field,normal,MI,0,0,0,0,1,0.25,0.42857142857142855
31,31,91,2008,Chennai,CSK,CSK,1,KXIP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,KXIP,,,,,,,,,,,,,,,,,,field,normal,CSK,18,0,1,0,1,0.625,0.7142857142857143
32,32,92,2008,Hyderabad,SRH,KKR,1,SRH,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,KKR,,,,,,,,,,,,,,,,,,bat,normal,KKR,23,1,1,1,0,0.42857142857142855,0.25
33,33,93,2008,Jaipur,RR,DD,1,RR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,,,,,,,,,,,,,,field,normal,RR,0,0,0,0,0,0.5714285714285714,0.75
34,34,94,2008,Chandigarh,KXIP,RCB,1,KXIP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,RCB,,,,,,,,,,,,,,,,,,bat,normal,KXIP,0,1,0,1,0,0.2222222222222222,0.625
35,35,95,2008,Kolkata,KKR,KKR,1,DD,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,KKR,,,,,,,,,,,,,,,,,,bat,normal,KKR,23,1,1,1,1,0.5,0.5
36,36,96,2008,Mumbai,MI,CSK,1,MI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI,,,,,,,,,,,,,,,,,,field,normal,MI,0,0,0,0,0,0.6666666666666666,0.5
37,37,97,2008,Chandigarh,KXIP,KXIP,1,RR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,,,,,,,,,,,,,,field,normal,KXIP,41,0,1,0,1,0.6666666666666666,0.7777777777777778
38,38,98,2008,Delhi,DD,DD,1,SRH,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRH,,,,,,,,,,,,,,,,,,field,normal,DD,12,0,1,0,1,0.4444444444444444,0.2222222222222222
39,39,99,2008,Mumbai,MI,KKR,1,MI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI,,,,,,,,,,,,,,,,,,field,normal,MI,0,0,0,0,0,0.5555555555555556,0.5555555555555556
40,40,100,2008,Delhi,DD,DD,1,KXIP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,DD,,,,,,,,,,,,,,,,,,bat,normal,KXIP,6,1,0,1,1,0.5,0.7
41,41,101,2008,Jaipur,RR,RR,1,RCB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,RCB,,,,,,,,,,,,,,,,,,field,normal,RR,65,0,1,0,1,0.7,0.2
42,42,102,2008,Hyderabad,SRH,MI,1,SRH,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRH,,,,,,,,,,,,,,,,,,field,normal,MI,25,0,1,0,0,0.6,0.2
43,43,103,2008,Kolkata,KKR,KKR,1,CSK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,KKR,,,,,,,,,,,,,,,,,,bat,normal,CSK,3,1,0,1,1,0.5,0.6
44,44,104,2008,Bangalore,RCB,RCB,1,DD,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,DD,,,,,,,,,,,,,,,,,,field,normal,DD,0,0,0,0,1,0.18181818181818185,0.4545454545454545
45,45,105,2008,Kolkata,KKR,KKR,1,RR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,,,,,,,,,,,,,,field,normal,RR,0,0,0,0,1,0.4545454545454545,0.7272727272727273
46,46,106,2008,Mumbai,MI,KXIP,1,MI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI,,,,,,,,,,,,,,,,,,field,normal,KXIP,1,0,1,0,0,0.7272727272727273,0.6363636363636364
47,47,107,2008,Chennai,CSK,RCB,1,CSK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,RCB,,,,,,,,,,,,,,,,,,bat,normal,RCB,14,1,1,1,0,0.16666666666666666,0.6363636363636364
48,48,108,2008,Chandigarh,KXIP,SRH,1,KXIP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,KXIP,,,,,,,,,,,,,,,,,,field,normal,KXIP,0,0,0,0,0,0.18181818181818185,0.75
49,49,109,2008,Delhi,DD,MI,1,DD,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,DD,,,,,,,,,,,,,,,,,,field,normal,DD,0,0,0,0,0,0.5833333333333334,0.5
50,50,110,2008,Chennai,CSK,RR,1,CSK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,,,,,,,,,,,,,,bat,normal,RR,10,1,1,1,0,0.75,0.5833333333333334
51,51,111,2008,Bangalore,RCB,RCB,1,SRH,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRH,,,,,,,,,,,,,,,,,,field,normal,RCB,3,0,1,0,1,0.2307692307692308,0.16666666666666666
52,52,112,2008,Kolkata,KKR,KXIP,1,KKR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,KXIP,,,,,,,,,,,,,,,,,,bat,normal,KKR,0,1,0,1,0,0.7692307692307693,0.4166666666666667
53,53,113,2008,Jaipur,RR,MI,1,RR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,,,,,,,,,,,,,,field,normal,RR,0,0,0,0,0,0.5384615384615384,0.7692307692307693
54,54,114,2008,Hyderabad,SRH,SRH,1,CSK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRH,,,,,,,,,,,,,,,,,,bat,normal,CSK,0,1,0,1,1,0.15384615384615385,0.5384615384615384
55,55,115,2008,Mumbai,MI,RR,1,DD,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,DD,,,,,,,,,,,,,,,,,,field,normal,RR,105,0,1,0,2,0.7857142857142857,0.5384615384615384
56,56,116,2008,Mumbai,MI,KXIP,1,CSK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,KXIP,,,,,,,,,,,,,,,,,,bat,normal,CSK,0,1,0,1,2,0.7142857142857143,0.5714285714285714
57,57,117,2008,Mumbai,MI,CSK,1,RR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,,,,,,,,,,,,,,field,normal,RR,0,0,0,0,2,0.6,0.8
58,58,118,2009,Cape Town,Cape Town,MI,1,CSK,0,7.542743538767395,24.0126582278481,181.12132269673097,7.873076923076923,24.662650602409638,194.1709453197405,0.052352551358515576,0.0532051282051282,34.7906976744186,35.65714285714286,40.66666666666666,1.338103756708408,1.3579978237214363,1.413907284768212,23.2,23.57142857142857,8.408053691275168,8.389830508474576,99.33333333333331,101.14285714285714,7.874583795782463,29.936708860759488,235.73912249399402,8.19792236194642,30.108433734939762,246.8266021988446,0.04384017758046615,CSK,0.04537998906506288,36.645833333333336,35.333333333333336,39.76190476190476,1.3265460030165912,1.2938967136150237,1.3801652892561984,27.671875,25.066666666666666,7.959550561797752,8.0,125.15625,112.8,336.7994228,336.7994228,260.9975198,260.9975198,field,normal,MI,19,0,1,0,2,0.5,0.5625
59,59,119,2009,Cape Town,Cape Town,RCB,1,RR,0,6.97196261682243,17.59433962264151,122.66707811673426,8.191204588910134,38.25,313.3135755258126,0.0660436137071651,0.03569152326322498,25.98181818181818,27.875,31.40909090909091,1.2161702127659575,1.1899679829242262,1.197573656845754,38.24324324324324,32.92857142857143,8.047393364928912,7.737062937062937,171.0810810810811,153.21428571428572,8.07103218645949,27.54545454545455,222.32025022702047,7.7428884026258205,24.57291666666667,190.26535147702407,0.048834628190898996,RCB,0.0525164113785558,32.5,33.8974358974359,38.08695652173913,1.3829787234042554,1.4048884165781084,1.447933884297521,26.464285714285715,26.58695652173913,7.932203389830509,7.890322580645162,120.10714285714286,121.30434782608695,281.7181509,281.7181509,251.3936012,251.3936012,bat,normal,RCB,75,1,1,1,2,0.2857142857142857,0.8125
