,Unnamed: 0,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
41,41,101,2008,Jaipur,RR,RR,1,RCB,0,RCB,,,,,field,normal,RR,65,0,1,0,1,0.19047619047619047,0.047619047619047616
42,42,102,2008,Hyderabad,SRH,MI,1,SRH,0,SRH,,,,,field,normal,MI,25,0,1,0,0,0.16279069767441862,0.046511627906976744
43,43,103,2008,Kolkata,KKR,KKR,1,CSK,0,KKR,,,,,bat,normal,CSK,3,1,0,1,1,0.11363636363636363,0.1590909090909091
44,44,104,2008,Bangalore,RCB,RCB,1,DD,0,DD,,,,,field,normal,DD,0,0,0,0,1,0.044444444444444446,0.13333333333333333
45,45,105,2008,Kolkata,KKR,KKR,1,RR,0,RR,,,,,field,normal,RR,0,0,0,0,1,0.10869565217391304,0.1956521739130435
46,46,106,2008,Mumbai,MI,KXIP,1,MI,0,MI,,,,,field,normal,KXIP,1,0,1,0,0,0.19148936170212766,0.14893617021276595
47,47,107,2008,Chennai,CSK,RCB,1,CSK,0,RCB,,,,,bat,normal,RCB,14,1,1,1,0,0.0625,0.14583333333333334
48,48,108,2008,Chandigarh,KXIP,SRH,1,KXIP,0,KXIP,,,,,field,normal,KXIP,0,0,0,0,0,0.04081632653061224,0.20408163265306123
49,49,109,2008,Delhi,DD,MI,1,DD,0,DD,,,,,field,normal,DD,0,0,0,0,0,0.14,0.14
50,50,110,2008,Chennai,CSK,RR,1,CSK,0,RR,,,,,bat,normal,RR,10,1,1,1,0,0.19607843137254902,0.13725490196078433
51,51,111,2008,Bangalore,RCB,RCB,1,SRH,0,SRH,,,,,field,normal,RCB,3,0,1,0,1,0.07692307692307693,0.038461538461538464
52,52,112,2008,Kolkata,KKR,KXIP,1,KKR,0,KXIP,,,,,bat,normal,KKR,0,1,0,1,0,0.18867924528301888,0.11320754716981132
53,53,113,2008,Jaipur,RR,MI,1,RR,0,RR,,,,,field,normal,RR,0,0,0,0,0,0.12962962962962962,0.2037037037037037
54,54,114,2008,Hyderabad,SRH,SRH,1,CSK,0,SRH,,,,,bat,normal,CSK,0,1,0,1,1,0.03636363636363636,0.14545454545454545
55,55,115,2008,Mumbai,MI,RR,1,DD,0,DD,,,,,field,normal,RR,105,0,1,0,2,0.21428571428571427,0.125
