Team,Year,Runs per Over,Runs per Wicket,Batting Index,Runs conceded per Over,Runs conceded per Wicket,Bowling Index,Batting Wicket Rate,Bowling Wicket Rate,Runs per Wicket_6 Batsmen,Runs per Wicket_4 Batsmen,Runs per Wicket_2 Batsmen,Runs per ball_6 Batsmen,Runs per ball_4 Batsmen,Runs per ball_2 Batsmen,Runs concede per Wicket_5 Bowler,Runs concede per Wicket_3 Bowler,Runs concede per Over_5 Bowler,Runs concede per Over_3 Bowler,Balls bowled per Wicket_5 Bowler,Balls bowled per Wicket_3 Bowler,Team Strength,Cumulative Team Strength
CSK,2008,,,,,,,,,,,,,,,,,,,,,28.477333119216272,28.477333119216272
CSK,2009,7.874583795782464,29.936708860759495,235.73912249399405,8.19792236194642,30.10843373493976,246.8266021988446,0.04384017758046615,0.045379989065062874,39.26315789473684,40.806451612903224,43.57142857142857,1.4182509505703422,1.407119021134594,1.431924882629108,27.671875,27.68888888888889,7.959550561797752,7.506024096385542,125.15625,132.8,39.591922318142856,39.591922318142856
CSK,2010,7.55072463768116,25.728395061728396,194.26802648058688,7.389830508474576,23.357142857142858,172.60532687651332,0.04891304347826087,0.05273069679849341,36.7,38.78378378378378,47.578947368421055,1.3901515151515151,1.3878143133462282,1.3780487804878048,21.433333333333334,22.625,7.059469350411711,7.144736842105263,109.3,114.0,30.982217890029762,33.48710269458333
CSK,2011,7.781449893390192,27.96551724137931,217.61227115653261,7.7242472266244055,27.382022471910112,211.50551113801882,0.04637526652452026,0.047015319598520865,34.886792452830186,38.088235294117645,40.75,1.4028831562974204,1.4649321266968325,1.4908536585365855,26.867924528301888,26.72972972972973,7.52112676056338,7.464150943396226,128.60377358490567,128.9189189189189,31.756889096934522,30.71098607933036
CSK,2012,7.783869267264102,33.25675675675676,258.8662468477967,7.475138121546961,27.16867469879518,203.08959595287226,0.03900896151818661,0.04585635359116022,37.6271186440678,46.48275862068966,49.25,1.3051146384479717,1.299903567984571,1.4071428571428573,24.857142857142858,21.134615384615383,7.224913494809688,7.090322580645161,123.85714285714286,107.3076923076923,27.90074698609023,25.805842479993736
CSK,2013,7.653521126760563,26.900990099009903,205.88729605354902,7.582514734774067,27.372340425531913,207.55117460184758,0.047417840375586856,0.04616895874263261,28.63157894736842,32.13513513513514,48.75,1.349875930521092,1.360411899313501,1.4391143911439115,29.571428571428573,30.428571428571427,7.584732824427481,7.547244094488189,140.35714285714286,145.14285714285714,31.246999606177244,28.98221852934391
CSK,2014,7.84818805093046,29.677777777777777,232.9167809337251,7.477283829995115,22.98198198198198,171.84280225511296,0.04407443682664055,0.0542256961406937,31.49206349206349,36.17777777777778,42.041666666666664,1.378735232800556,1.4483985765124556,1.5570987654320987,20.35164835164835,18.104477611940297,7.467741935483871,7.170443349753695,98.10989010989012,90.8955223880597,30.64427037879464,30.963085461312502
CSK,2015,8.0780331373597,35.98571428571429,290.69379247155837,8.175930922827847,28.055555555555557,229.38028422378127,0.03741314804917156,0.048569886670264434,38.82692307692308,43.1764705882353,75.8,1.3725356900067982,1.4280155642023347,1.4980237154150198,27.446153846153845,22.96551724137931,7.964285714285714,8.121951219512194,124.06153846153846,101.79310344827586,30.792495037647058,28.61170567337535
CSK,2018,7.672817955112219,24.653846153846153,189.16447343180508,7.662506240639042,24.596153846153847,188.46818234187182,0.05187032418952618,0.05192211682476285,29.08888888888889,31.464285714285715,38.0,1.355072463768116,1.4395424836601307,1.4568690095846646,32.58139534883721,31.741935483870968,7.967772511848342,7.809523809523809,147.2093023255814,146.32258064516128,32.72363053925568,32.268406450545136
CSK,2019,8.578696343402225,35.03896103896104,300.5886069415481,8.619450317124736,30.2,260.307399577167,0.04080551139374669,0.04756871035940803,44.26,47.85294117647059,78.33333333333333,1.4802675585284282,1.5234082397003745,1.5309446254071661,32.189655172413794,30.902439024390244,9.085158150851582,9.104191616766467,127.55172413793103,122.1951219512195,35.79877881176471,32.419448539453946
DD,2008,,,,,,,,,,,,,,,,,,,,,32.647935190921,32.647935190921
DD,2009,7.989347536617844,25.974025974025974,207.5155204316323,8.1525,26.51219512195122,216.1406707317073,0.05126498002663116,0.05125,30.170212765957448,32.7027027027027,37.6,1.494204425711275,1.5414012738853504,1.5692821368948247,25.27777777777778,22.488372093023255,8.173652694610778,7.991735537190083,111.33333333333333,101.30232558139535,30.716094071,30.716094070999997
DD,2010,7.296028880866427,26.946666666666665,196.60365824308064,7.339160839160839,23.065934065934066,169.28460001536925,0.04512635379061372,0.05303030303030303,34.191489361702125,37.0,46.473684210526315,1.2907630522088354,1.302568981921979,1.2686781609195403,22.185714285714287,22.0,7.395238095238096,7.425947187141217,108.0,106.65306122448979,35.17700204164286,33.46959288485715
DD,2011,7.433109346365302,23.045454545454547,171.2993835730549,7.6987295825771325,26.185185185185187,201.59265981044567,0.05375687232742822,0.04900181488203267,29.52173913043478,28.90909090909091,28.727272727272727,1.4477611940298507,1.5288461538461537,1.5643564356435644,28.28205128205128,32.52,8.583657587548638,8.86909090909091,118.61538461538461,132.0,33.34422051071429,32.661169036785715
DD,2012,7.2598130841121495,20.442105263157895,148.40586325627152,8.159517426273458,33.26229508196721,271.40427635916143,0.059190031152647975,0.04088471849865952,28.642857142857142,32.7,37.8125,1.3040650406504064,1.4074605451936872,1.5433673469387754,31.86842105263158,32.23076923076923,8.011025358324146,7.9683042789223455,143.21052631578948,145.6153846153846,28.343846690031747,27.88564817617064
