,Unnamed: 0,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_WINNER,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
32,32,92,2008,Hyderabad,SRH,KKR,1,SRH,0,303.1287046,303.1287046,234.5125,234.5125,KKR,bat,normal,KKR,23,1,1,1,0,0.42857142857142855,0.25
33,33,93,2008,Jaipur,RR,DD,1,RR,0,296.6,296.6,331.64615380000004,331.64615380000004,RR,field,normal,RR,0,0,0,0,0,0.5714285714285714,0.75
34,34,94,2008,Chandigarh,KXIP,RCB,1,KXIP,0,227.43385419999998,227.43385419999998,282.9642857,282.9642857,RCB,bat,normal,KXIP,0,1,0,1,0,0.2222222222222222,0.625
35,35,95,2008,Kolkata,KKR,KKR,1,DD,0,303.1287046,303.1287046,296.6,296.6,KKR,bat,normal,KKR,23,1,1,1,1,0.5,0.5
36,36,96,2008,Mumbai,MI,CSK,1,MI,0,336.62857139999994,336.62857139999994,331.65170939999996,331.65170939999996,MI,field,normal,MI,0,0,0,0,0,0.6666666666666666,0.5
37,37,97,2008,Chandigarh,KXIP,KXIP,1,RR,0,282.9642857,282.9642857,331.64615380000004,331.64615380000004,RR,field,normal,KXIP,41,0,1,0,1,0.6666666666666666,0.7777777777777778
38,38,98,2008,Delhi,DD,DD,1,SRH,0,296.6,296.6,234.5125,234.5125,SRH,field,normal,DD,12,0,1,0,1,0.4444444444444444,0.2222222222222222
39,39,99,2008,Mumbai,MI,KKR,1,MI,0,303.1287046,303.1287046,331.65170939999996,331.65170939999996,MI,field,normal,MI,0,0,0,0,0,0.5555555555555556,0.5555555555555556
40,40,100,2008,Delhi,DD,DD,1,KXIP,0,296.6,296.6,282.9642857,282.9642857,DD,bat,normal,KXIP,6,1,0,1,1,0.5,0.7
41,41,101,2008,Jaipur,RR,RR,1,RCB,0,331.64615380000004,331.64615380000004,227.43385419999998,227.43385419999998,RCB,field,normal,RR,65,0,1,0,1,0.7,0.2
42,42,102,2008,Hyderabad,SRH,MI,1,SRH,0,331.65170939999996,331.65170939999996,234.5125,234.5125,SRH,field,normal,MI,25,0,1,0,0,0.6,0.2
