Team,Year,Team_strength,Cumulative_team_strength
csk,2008,59.93580563635665,59.93580563635665
csk,2009,91.55943310609182,91.55943310609182
csk,2010,67.31220238083334,84.11822916645833
csk,2011,60.553453057529765,64.7656599474256
csk,2012,88.89516579947369,68.13108067006893
csk,2013,46.35497291449735,51.046229597812165
csk,2014,64.84931335544643,73.24688942670832
csk,2015,80.98325163411765,64.59867394749301
csk,2018,78.59124972181817,63.23867429106945
csk,2019,72.72867647058824,60.00632899192692
dd,2008,48.696263842779764,48.696263842779764
dd,2009,59.17745384286666,59.17745384286666
dd,2010,93.51242346957143,87.9957568017143
dd,2011,66.11454369002267,57.74156498240363
dd,2012,34.69428111547619,33.868564933624334
dd,2013,73.230580356875,57.623258266458336
dd,2014,73.91480112627978,65.49884070273811
dd,2015,49.51035482380953,54.01718558755272
dd,2016,67.4221827035119,55.871518816785716
dd,2017,58.69999613505953,51.62489108792064
dd,2018,53.34922815357142,56.249619809173474
dd,2019,99.14629464335624,58.65114177521276
gl,2016,47.380424783783475,51.73000891694717
gl,2017,55.97647392295919,66.0008615243254
kkr,2008,58.32562952863072,58.32562952863072
kkr,2009,46.95524520157843,46.95524520157843
kkr,2010,64.61714852832539,58.06348294685714
kkr,2011,38.90318292825,42.519895105138886
kkr,2012,59.98197786852941,53.199433697573525
kkr,2013,73.39606676052084,64.60142399754167
kkr,2014,39.07976903242187,49.43666636170833
kkr,2015,76.77379009834615,61.191720421556774
kkr,2016,74.3593259521111,64.50998042598016
kkr,2017,50.460164835625,59.135283438267855
kkr,2018,52.030525649910714,51.82796040756249
kkr,2019,63.69812925428572,68.57613969458102
ktk,2011,67.9547805364935,60.89898249864285
kxip,2008,37.865020010837036,37.865020010837036
kxip,2009,71.73765117190477,71.73765117190477
kxip,2010,65.26066360853741,77.95039424857143
kxip,2011,46.85059523809524,46.693712735595234
kxip,2012,56.75369734454167,57.12717519020834
kxip,2013,64.78809523794642,66.84746347422768
kxip,2014,61.90890522656863,65.85770258943137
kxip,2015,102.36939102535713,91.42320896758504
kxip,2016,41.86748846571428,72.99196765518708
kxip,2017,44.50380952357143,69.58821265633928
kxip,2018,50.619690703880956,61.52387124879762
kxip,2019,62.31730570857143,63.16785144357143
mi,2008,64.23128508398268,64.23128508398268
mi,2009,77.05937118333334,77.05937118333333
mi,2010,51.128863348041676,63.152790176354166
mi,2011,44.4535308446875,51.25739321385418
mi,2012,92.7331322272549,61.02983754352942
mi,2013,62.32689678642858,67.85474306239348
mi,2014,55.318800906533326,57.54059123853334
mi,2015,66.06731558374999,60.186528590270825
mi,2016,51.37780894732142,54.855622800148815
mi,2017,55.20296451843137,53.95943126958216
mi,2018,49.11551479258929,56.77448823495068
mi,2019,66.26484279333334,62.42043441827258
rcb,2008,41.83128093293259,41.83128093293259
rcb,2009,42.9000366389323,42.9000366389323
rcb,2010,32.45347673125,32.2956067371875
rcb,2011,48.286444978750005,54.74941620885416
rcb,2012,71.38121811229166,67.32219351421874
rcb,2013,50.52260551998513,52.68903540920834
rcb,2014,62.643330905051016,69.27816350423811
rcb,2015,53.245037774062496,52.464116236458324
rcb,2016,79.96279761916668,67.71404665544644
rcb,2017,110.96602564076923,75.82048205948716
rcb,2018,67.77059884595238,80.95775691080952
rcb,2019,72.75953540521428,74.11298750548703
rps,2011,58.647336746383225,57.65744172019273
rps,2012,54.88718384794643,55.393756095186006
rps,2013,58.03156622036459,55.17119200219791
rps,2016,66.33347550266157,75.17487593426446
rps,2017,79.0413954678125,62.998540135885406
rr,2008,50.93148788488122,50.931487884881214
rr,2009,76.5279956161859,76.5279956161859
rr,2010,56.17853323928572,64.72912385214285
rr,2011,55.7192055803683,52.46669719102564
rr,2012,54.04221681057291,54.12802579327605
rr,2013,77.81147486777778,58.49538239506481
rr,2014,64.03061355285715,56.61655890387179
rr,2015,55.85959675285714,53.00118777922619
rr,2018,63.34877705653333,47.58678234304444
rr,2019,55.73643380367347,61.62735161612915
srh,2008,44.8406289588818,44.8406289588818
srh,2009,41.53800595177083,41.53800595177083
srh,2010,46.45023437490625,43.57182415646875
srh,2011,47.17664954009525,50.38733330116667
srh,2012,51.169061355055554,54.8841366495
srh,2013,36.01220471538922,33.88020038812745
srh,2014,54.11821908285714,45.08038947149999
srh,2015,68.54215797407313,55.67993494527042
srh,2016,63.01722688933334,56.87642970915546
srh,2017,114.8921551945238,106.52101362830356
srh,2018,92.93589743411765,78.79520946217087
srh,2019,53.40378689086666,66.49729727697488
