Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
KA Pollard,18,18,8,420,66*,42,281,149.46,0,3,0,27,29,14,31,0,292,10,43984,29.2,9.41,18.6,0,0,12,0
RG Sharma,19,19,5,538,79*,38.42,409,131.54,0,4,0,35,28,2,1.2,0,6,0,-,-,4.5,-,0,0,7,0
JDP Oram,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4,0,22,0,-,-,5.5,-,0,0,0,0
DR Smith,13,13,0,418,68,32.15,341,122.58,0,4,1,40,19,3,5,0,59,2,43862,29.5,11.8,15,0,0,8,0
AN Ahmed,2,-,-,-,-,-,-,-,-,-,-,-,-,2,7,0,45,3,46419,15,6.42,14,0,0,1,0
KD Karthik,19,19,1,510,86,28.33,411,124.08,0,2,2,54,14,-,-,-,-,-,-,-,-,-,-,-,12,2
Harbhajan Singh,19,14,8,116,25*,19.33,79,146.83,0,0,2,12,5,19,70,0,456,24,41699,19,6.51,17.5,0,0,9,0
AP Tare,5,5,0,123,59,24.6,84,146.42,0,1,1,14,5,-,-,-,-,-,-,-,-,-,-,-,0,0
P Suyal,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3,0,21,1,44197,21,7,18,0,0,1,0
SR Tendulkar,14,14,1,287,54,22.07,231,124.24,0,1,1,38,5,-,-,-,-,-,-,-,-,-,-,-,4,0
SL Malinga,17,6,2,9,7,2.25,18,50,0,0,2,1,0,17,65.2,0,468,20,14305,23.4,7.16,19.6,0,0,3,0
MG Johnson,17,6,2,39,11,9.75,36,108.33,0,0,0,2,2,17,64,0,459,24,46447,19.12,7.17,16,0,0,7,0
AT Rayudu,19,17,3,265,37,18.92,231,114.71,0,0,2,22,4,-,-,-,-,-,-,-,-,-,-,-,8,0
NM Coulter-Nile,1,1,0,9,9,9,6,150,0,0,0,0,1,1,4,0,29,1,47119,29,7.25,24,0,0,1,0
GJ Maxwell,3,3,1,36,23,18,27,133.33,0,0,1,1,4,2,2,0,23,0,-,-,11.5,-,0,0,1,0
R Dhawan,6,4,1,21,14,7,21,100,0,0,1,3,0,5,15,1,109,2,43983,54.5,7.26,45,0,0,3,0
RT Ponting,6,5,0,52,28,10.4,75,69.33,0,0,1,3,1,-,-,-,-,-,-,-,-,-,-,-,2,0
PP Ojha,16,3,2,2,1*,2,4,50,0,0,1,0,0,15,52.2,0,381,16,44138,23.81,7.28,19.6,0,0,2,0
DS Kulkarni,6,-,-,-,-,-,-,-,-,-,-,-,-,6,18.4,0,151,8,43525,18.87,8.08,14,0,0,0,0
YS Chahal,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4,0,34,0,-,-,8.5,-,0,0,0,0
MM Patel,4,1,1,0,0*,-,0,-,0,0,0,0,0,4,15,0,137,3,47178,45.66,9.13,30,0,0,0,0
JJ Bumrah,2,-,-,-,-,-,-,-,-,-,-,-,-,2,7,0,70,3,11749,23.33,10,14,0,0,0,0
