Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
HH Gibbs,3,3,1,81,66*,40.5,88,92.04,0,1,0,8,2,-,-,-,-,-,-,-,-,-,-,-,0,0
SL Malinga,14,6,0,55,17,9.16,53,103.77,0,0,1,4,3,14,55.3,1,350,22,42461,15.9,6.3,15.1,1,0,6,0
DR Smith,7,6,2,157,87*,39.25,98,160.2,0,1,1,18,7,6,13,0,95,2,44044,47.5,7.3,39,0,0,1,0
Harbhajan Singh,17,11,2,108,33,12,80,135,0,0,3,14,3,16,54,1,384,6,41306,64,7.11,54,0,0,6,0
AT Rayudu,17,15,6,333,81*,37,252,132.14,0,2,1,21,14,-,-,-,-,-,-,-,-,-,-,-,2,0
RG Sharma,17,16,2,433,109*,30.92,342,126.6,1,3,2,39,18,1,1,0,16,0,-,-,16,-,0,0,13,0
PP Ojha,9,3,1,4,3,2,14,28.57,0,0,0,0,0,9,30,0,220,9,42767,24.44,7.33,20,0,0,1,0
SR Tendulkar,13,13,2,324,74,29.45,283,114.48,0,2,1,39,4,-,-,-,-,-,-,-,-,-,-,-,0,0
RP Singh,11,5,3,6,3,3,12,50,0,0,1,0,0,11,41,0,318,10,46813,31.8,7.75,24.6,0,0,3,0
JEC Franklin,12,11,2,220,79,24.44,223,98.65,0,1,0,15,6,9,15,0,121,6,43132,20.16,8.06,15,0,0,4,0
MM Patel,12,3,3,2,1*,-,7,28.57,0,0,0,0,0,12,46.4,2,367,15,43922,24.46,7.86,18.6,2,0,5,0
KA Pollard,14,11,2,220,64,24.44,159,138.36,0,2,0,15,14,14,43.5,0,350,16,16163,21.87,7.98,16.4,1,0,6,0
KD Karthik,17,14,1,238,44,18.3,213,111.73,0,0,1,30,2,-,-,-,-,-,-,-,-,-,-,-,5,2
DS Kulkarni,2,1,1,10,10*,-,5,200,0,0,0,2,0,2,8,1,64,6,43160,10.66,8,8,0,0,2,0
RE Levi,6,6,0,83,50,13.83,73,113.69,0,1,2,10,4,-,-,-,-,-,-,-,-,-,-,-,2,0
AN Ahmed,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2,0,17,0,-,-,8.5,-,0,0,0,0
RJ Peterson,5,5,2,32,16*,10.66,30,106.66,0,0,1,3,1,4,8,0,70,3,13575,23.33,8.75,16,0,0,1,0
CJ McKay,2,1,0,8,8,8,15,53.33,0,0,0,0,0,2,7,0,60,1,13150,60,8.57,42,0,0,0,0
R Shukla,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3,0,31,0,-,-,10.33,-,0,0,0,0
TL Suman,2,2,0,15,10,7.5,19,78.94,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,1,0
NLTC Perera,2,2,1,4,4*,4,9,44.44,0,0,1,0,0,2,2.3,0,27,0,-,-,10.8,-,0,0,2,0
AC Blizzard,1,1,0,0,0,0,3,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
DJ Jacobs,1,1,0,0,0,0,10,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,1,0
SA Yadav,1,1,0,0,0,0,4,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
