Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
S Dhawan,10,10,2,311,73*,38.87,253,122.92,0,3,1,37,5,-,-,-,-,-,-,-,-,-,-,-,3,0
Anand Rajan,2,-,-,-,-,-,-,-,-,-,-,-,-,2,8,0,42,2,43831,21,5.25,24,0,0,1,0
DJG Sammy,10,9,3,174,60,29,132,131.81,0,1,1,11,10,9,22.2,0,168,8,44652,21,7.52,16.7,1,0,3,0
DW Steyn,17,8,6,53,18*,26.5,36,147.22,0,0,1,5,2,17,67.5,3,384,19,44138,20.21,5.66,21.4,0,0,3,0
GH Vihari,17,17,3,241,46,17.21,278,86.69,0,0,0,17,1,5,6,0,38,1,43952,38,6.33,36,0,0,4,0
BB Samantray,8,7,2,123,55,24.6,111,110.81,0,1,1,13,2,-,-,-,-,-,-,-,-,-,-,-,3,0
A Mishra,17,8,2,89,30,14.83,96,92.7,0,0,2,9,0,17,62,1,394,21,43556,18.76,6.35,17.7,1,0,2,0
NLTC Perera,16,14,4,233,40,23.3,163,142.94,0,0,0,12,14,16,59.4,0,478,19,43891,25.15,8.01,18.8,0,0,5,0
KV Sharma,13,7,3,85,39*,21.25,86,98.83,0,0,0,6,2,13,34.5,1,230,11,43497,20.9,6.6,19,0,0,4,0
PA Patel,13,13,0,294,61,22.61,255,115.29,0,1,0,37,4,-,-,-,-,-,-,-,-,-,-,-,5,3
I Sharma,16,2,2,0,0*,-,0,-,0,0,0,0,0,16,59.4,2,466,15,46447,31.06,7.81,23.8,0,0,6,0
A Ashish Reddy,12,10,4,125,36*,20.83,89,140.44,0,0,0,9,4,5,6.4,0,70,3,44013,23.33,10.5,13.3,0,0,7,0
CL White,13,13,1,209,52,17.41,191,109.42,0,1,2,18,7,2,2,0,16,1,41640,16,8,12,0,0,10,0
Ankit Sharma,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2,0,17,0,-,-,8.5,-,0,0,1,0
DB Ravi Teja,2,2,1,14,10,14,17,82.35,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
Q de Kock,3,3,0,6,4,2,15,40,0,0,1,1,0,-,-,-,-,-,-,-,-,-,-,-,3,1
KC Sangakkara,9,9,0,120,28,13.33,136,88.23,0,0,0,13,0,-,-,-,-,-,-,-,-,-,-,-,3,0
PA Reddy,7,7,0,91,27,13,101,90.09,0,0,0,9,0,-,-,-,-,-,-,-,-,-,-,-,2,0
X Thalaivan Sargunam,1,1,0,10,10,10,17,58.82,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
