Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
MS Dhoni,15,12,7,416,84*,83.2,309,134.62,0,3,0,22,23,-,-,-,-,-,-,-,-,-,-,-,11,5
SK Raina,17,17,1,383,59,23.93,314,121.97,0,3,1,45,9,1,1,0,6,0,-,-,6,-,0,0,7,0
F du Plessis,12,12,1,396,96,36,321,123.36,0,3,0,36,15,-,-,-,-,-,-,-,-,-,-,-,12,0
RA Jadeja,16,9,6,106,31*,35.33,88,120.45,0,0,0,7,4,16,54,1,343,15,44077,22.86,6.35,21.6,0,0,9,0
Imran Tahir,17,1,1,0,0*,-,0,-,0,0,0,0,0,17,64.2,1,431,26,44169,16.57,6.69,14.8,2,0,6,0
M Vijay,2,2,0,64,38,32,61,104.91,0,0,0,6,1,-,-,-,-,-,-,-,-,-,-,-,1,0
MJ Santner,4,2,1,32,22,32,23,139.13,0,0,0,0,3,4,14,0,94,4,41306,23.5,6.71,21,0,0,1,0
Harbhajan Singh,11,1,0,1,1,1,3,33.33,0,0,0,0,0,11,44,1,312,16,43891,19.5,7.09,16.5,0,0,4,0
DL Chahar,17,2,0,7,7,3.5,9,77.77,0,0,1,1,0,17,64.3,2,482,22,43891,21.9,7.47,17.5,0,0,2,0
AT Rayudu,17,17,5,282,57,23.5,303,93.06,0,1,2,20,7,-,-,-,-,-,-,-,-,-,-,-,6,0
DJ Bravo,12,9,4,80,27,16,66,121.21,0,0,0,6,3,12,41.1,0,330,11,12114,30,8.01,22.4,0,0,5,0
SR Watson,17,17,0,398,96,23.41,312,127.56,0,3,3,42,20,-,-,-,-,-,-,-,-,-,-,-,6,0
SC Kuggeleijn,2,-,-,-,-,-,-,-,-,-,-,-,-,2,8,0,71,2,13547,35.5,8.87,24,0,0,0,0
KM Jadhav,14,12,3,162,58,18,169,95.85,0,1,1,19,3,-,-,-,-,-,-,-,-,-,-,-,4,0
MM Sharma,1,1,1,0,0*,-,2,0,0,0,0,0,0,1,3,0,27,1,46388,27,9,18,0,0,0,0
SN Thakur,10,3,1,14,12*,7,7,200,0,0,1,1,1,9,30,0,281,8,43132,35.12,9.36,22.5,0,0,5,0
KV Sharma,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2.5,0,33,1,12055,33,11.64,17,0,0,0,0
DR Shorey,1,1,0,5,5,5,8,62.5,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
SW Billings,1,1,0,0,0,0,4,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,1,0
