Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
AB de Villiers,15,13,4,465,105*,51.66,355,130.98,1,3,1,39,12,-,-,-,-,-,-,-,-,-,-,-,13,0
TM Dilshan,14,13,3,418,67*,41.8,341,122.58,0,4,0,42,13,8,16,0,98,0,-,-,6.12,-,0,0,4,0
MF Maharoof,3,2,1,21,18*,21,21,100,0,0,0,0,0,3,10,0,65,4,46419,16.25,6.5,15,0,0,0,0
KD Karthik,15,13,5,288,52,36,217,132.71,0,1,0,20,9,-,-,-,-,-,-,-,-,-,-,-,12,5
R Bhatia,8,5,0,8,4,1.6,18,44.44,0,0,2,1,0,7,21.4,0,146,10,42095,14.6,6.73,13,1,0,4,0
M Manhas,10,6,3,75,26,25,62,120.96,0,0,2,7,1,-,-,-,-,-,-,-,-,-,-,-,2,0
A Nehra,13,2,2,1,1*,-,1,100,0,0,0,0,0,13,51,1,346,19,46447,18.21,6.78,16.1,0,0,3,0
DA Warner,7,7,0,163,51,23.28,132,123.48,0,1,1,16,5,-,-,-,-,-,-,-,-,-,-,-,3,0
A Mishra,11,5,2,26,13*,8.66,20,130,0,0,2,2,2,11,42,1,294,14,41699,21,7,18,0,0,2,0
G Gambhir,15,15,2,286,71*,22,278,102.87,0,1,2,32,2,-,-,-,-,-,-,-,-,-,-,-,2,0
AB McDonald,1,1,0,3,3,3,4,75,0,0,0,0,0,1,3,0,22,0,-,-,7.33,-,0,0,0,0
DP Nannes,13,-,-,-,-,-,-,-,-,-,-,-,-,13,49.3,0,372,15,46447,24.8,7.51,19.8,0,0,5,0
Y Nagar,1,1,0,20,20,20,20,100,0,0,0,1,0,1,2,0,20,2,43862,10,10,6,0,0,1,0
PJ Sangwan,13,5,4,6,5*,6,10,60,0,0,1,0,0,13,46.4,1,360,15,43160,24,7.71,18.6,0,0,3,0
V Sehwag,11,11,1,198,50,19.8,138,143.47,0,1,1,24,7,1,1,0,25,0,-,-,25,-,0,0,3,0
DL Vettori,7,4,2,34,29,17,32,106.25,0,0,0,3,0,7,23.1,0,181,7,42064,25.85,7.81,19.8,0,0,4,0
AM Salvi,5,-,-,-,-,-,-,-,-,-,-,-,-,5,17,0,134,4,43497,33.5,7.88,25.5,0,0,1,0
MK Tiwary,2,1,0,9,9,9,13,69.23,0,0,0,1,0,1,1,0,11,0,-,-,11,-,0,0,0,0
VY Mahesh,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2,0,25,1,45658,25,12.5,12,0,0,0,0
