Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
DJ Bravo,19,16,8,371,48,46.37,264,140.53,0,0,0,20,20,18,57.4,0,462,15,44106,30.8,8.01,23,0,0,9,0
R Ashwin,19,5,2,18,8,6,15,120,0,0,1,2,0,18,65.5,0,431,14,44986,30.78,6.54,28.2,0,0,5,0
F du Plessis,13,12,0,398,73,33.16,304,130.92,0,3,0,29,17,1,1,0,16,0,-,-,16,-,0,0,4,0
KMDN Kulasekara,5,1,1,5,5*,-,3,166.66,0,0,0,1,0,4,14,0,94,4,44106,23.5,6.71,21,0,0,4,0
MEK Hussey,8,8,0,261,56,32.62,236,110.59,0,2,0,28,8,-,-,-,-,-,-,-,-,-,-,-,4,0
BW Hilfenhaus,9,-,-,-,-,-,-,-,-,-,-,-,-,9,34,2,233,14,46447,16.64,6.85,14.5,0,0,0,0
MS Dhoni,19,17,5,358,51*,29.83,278,128.77,0,1,0,26,9,-,-,-,-,-,-,-,-,-,-,-,12,2
SK Raina,19,18,1,441,73,25.94,325,135.69,0,1,2,36,19,7,14,0,105,2,43952,52.5,7.5,42,0,0,11,0
S Badrinath,15,9,2,196,57,28,181,108.28,0,1,0,23,2,-,-,-,-,-,-,-,-,-,-,-,3,0
JA Morkel,16,12,5,107,28,15.28,68,157.35,0,0,1,5,6,15,49.3,0,385,13,47178,29.61,7.77,22.8,0,0,2,0
RA Jadeja,19,14,2,191,48,15.91,151,126.49,0,0,0,13,9,14,35,0,273,12,42491,22.75,7.8,17.5,0,1,2,0
M Vijay,14,14,1,336,113,25.84,267,125.84,1,0,2,39,10,-,-,-,-,-,-,-,-,-,-,-,6,0
SB Jakati,15,2,2,7,6*,-,12,58.33,0,0,0,0,0,15,41,0,336,9,41671,37.33,8.19,27.3,0,0,4,0
VY Mahesh,5,-,-,-,-,-,-,-,-,-,-,-,-,4,9.2,0,81,3,44228,27,8.67,18.6,0,0,1,0
DE Bollinger,6,1,0,3,3,3,5,60,0,0,0,0,0,6,18,0,157,8,45352,19.62,8.72,13.5,0,0,2,0
WP Saha,4,1,0,6,6,6,14,42.85,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
S Anirudha,4,2,2,19,18*,-,7,271.42,0,0,0,1,2,-,-,-,-,-,-,-,-,-,-,-,0,0
