Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
MEK Hussey,17,17,3,733,95,52.35,566,129.5,0,6,0,81,17,-,-,-,-,-,-,-,-,-,-,-,10,0
MM Sharma,15,2,1,0,0*,0,5,0,0,0,1,0,0,15,50.4,0,326,20,44107,16.3,6.43,15.2,0,0,2,0
SK Raina,18,17,4,548,100*,42.15,365,150.13,1,4,3,50,18,2,2,0,23,1,43922,23,11.5,12,0,0,10,0
JA Morkel,8,3,0,46,23,15.33,37,124.32,0,0,0,2,3,7,24,0,159,7,11749,22.71,6.62,20.5,0,0,2,0
MS Dhoni,18,16,5,461,67*,41.9,283,162.89,0,4,0,32,25,-,-,-,-,-,-,-,-,-,-,-,15,2
R Ashwin,18,5,1,35,11*,8.75,49,71.42,0,0,0,4,0,18,58,1,390,15,43132,26,6.72,23.2,0,0,4,0
RA Jadeja,18,14,6,201,38*,25.12,135,148.88,0,0,2,17,6,15,43.1,0,323,13,43891,24.84,7.48,19.9,0,0,6,0
WP Saha,3,3,0,70,39,23.33,56,125,0,0,0,6,4,-,-,-,-,-,-,-,-,-,-,-,0,0
DJ Bravo,18,12,4,121,23*,15.12,106,114.15,0,0,0,11,3,18,62.3,0,497,32,15432,15.53,7.95,11.7,1,0,14,0
M Vijay,15,15,1,312,55,22.28,286,109.09,0,2,0,27,8,-,-,-,-,-,-,-,-,-,-,-,8,0
DP Nannes,5,1,1,0,0*,-,0,-,0,0,0,0,0,5,19.5,0,158,4,42767,39.5,7.96,29.7,0,0,3,0
S Badrinath,18,8,1,124,34,17.71,121,102.47,0,0,2,11,0,-,-,-,-,-,-,-,-,-,-,-,1,0
CH Morris,16,6,4,14,7*,7,16,87.5,0,0,1,0,0,16,50,0,401,15,14671,26.73,8.02,20,0,0,5,0
JO Holder,6,-,-,-,-,-,-,-,-,-,-,-,-,6,20,0,168,2,43862,84,8.4,60,0,0,3,0
AS Rajpoot,2,1,1,2,2*,-,6,33.33,0,0,0,0,0,2,4,0,35,1,45658,35,8.75,24,0,0,0,0
B Laughlin,2,2,1,4,4*,4,9,44.44,0,0,1,0,0,2,7,0,71,1,45658,71,10.14,42,0,0,0,0
S Anirudha,1,1,0,0,0,0,2,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
