,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL
59,119,2009,Cape Town,Cape Town,RCB,1,RR,0,RCB,bat,normal,RCB,75,1,1,1,2
60,120,2009,Cape Town,Cape Town,KXIP,1,DD,0,DD,field,normal,DD,0,0,0,0,2
61,121,2009,Cape Town,Cape Town,KKR,1,SRH,0,KKR,bat,normal,SRH,0,1,0,1,2
62,122,2009,Port Elizabeth,Port Elizabeth,CSK,1,RCB,0,CSK,bat,normal,CSK,92,1,1,1,2
63,123,2009,Durban,Durban,KXIP,1,KKR,0,KKR,field,normal,KKR,11,0,0,0,2
64,124,2009,Cape Town,Cape Town,SRH,1,RCB,0,SRH,bat,normal,SRH,24,1,1,1,2
65,125,2009,Durban,Durban,DD,1,CSK,0,DD,bat,normal,DD,9,1,1,1,2
66,126,2009,Cape Town,Cape Town,RR,1,KKR,0,KKR,field,tie,RR,0,0,1,0,2
67,127,2009,Durban,Durban,RCB,1,KXIP,0,RCB,bat,normal,KXIP,0,1,0,1,2
68,128,2009,Durban,Durban,SRH,1,MI,0,SRH,bat,normal,SRH,12,1,1,1,2
69,129,2009,Port Elizabeth,Port Elizabeth,RCB,1,DD,0,RCB,bat,normal,DD,0,1,0,1,2
70,130,2009,Cape Town,Cape Town,KXIP,1,RR,0,KXIP,bat,normal,KXIP,27,1,1,1,2
71,131,2009,Durban,Durban,CSK,1,SRH,0,SRH,field,normal,SRH,0,0,0,0,2
72,132,2009,Port Elizabeth,Port Elizabeth,MI,1,KKR,0,MI,bat,normal,MI,92,1,1,1,2
73,133,2009,Centurion,Centurion,DD,1,RR,0,DD,bat,normal,RR,0,1,0,1,2
74,134,2009,Durban,Durban,KKR,1,RCB,0,KKR,bat,normal,RCB,0,1,0,1,2
75,135,2009,Durban,Durban,KXIP,1,MI,0,KXIP,bat,normal,KXIP,3,1,1,1,2
76,136,2009,Centurion,Centurion,SRH,1,DD,0,DD,field,normal,DD,0,0,0,0,2
77,137,2009,Centurion,Centurion,CSK,1,RR,0,RR,field,normal,CSK,38,0,1,0,2
78,138,2009,East London,East London,MI,1,KKR,0,MI,bat,normal,MI,9,1,1,1,2
79,139,2009,Durban,Durban,RCB,1,KXIP,0,RCB,bat,normal,RCB,8,1,1,1,2
80,140,2009,Port Elizabeth,Port Elizabeth,SRH,1,RR,0,SRH,bat,normal,RR,0,1,0,1,2
81,141,2009,Johannesburg,Johannesburg,CSK,1,DD,0,DD,field,normal,CSK,18,0,1,0,2
82,142,2009,Port Elizabeth,Port Elizabeth,KKR,1,KXIP,0,KKR,bat,normal,KXIP,0,1,0,1,2
83,143,2009,Johannesburg,Johannesburg,MI,1,RCB,0,MI,bat,normal,RCB,0,1,0,1,2
84,144,2009,East London,East London,CSK,1,SRH,0,CSK,bat,normal,CSK,78,1,1,1,2
85,145,2009,Durban,Durban,RR,1,KXIP,0,KXIP,field,normal,RR,78,0,1,0,2
86,146,2009,Durban,Durban,KKR,1,DD,0,KKR,bat,normal,DD,0,1,0,1,2
87,147,2009,Centurion,Centurion,SRH,1,MI,0,SRH,bat,normal,SRH,19,1,1,1,2
88,148,2009,Centurion,Centurion,RCB,1,RR,0,RR,field,normal,RR,0,0,0,0,2
89,149,2009,Centurion,Centurion,CSK,1,KXIP,0,CSK,bat,normal,CSK,12,1,1,1,2
90,150,2009,East London,East London,MI,1,DD,0,MI,bat,normal,DD,0,1,0,1,2
91,151,2009,Kimberley,Kimberley,SRH,1,KXIP,0,KXIP,field,normal,KXIP,0,0,0,0,2
92,152,2009,Kimberley,Kimberley,RR,1,CSK,0,RR,bat,normal,CSK,0,1,0,1,2
93,153,2009,Port Elizabeth,Port Elizabeth,MI,1,RCB,0,MI,bat,normal,MI,16,1,1,1,2
94,154,2009,Johannesburg,Johannesburg,KKR,1,DD,0,DD,field,normal,DD,0,0,0,0,2
95,155,2009,Kimberley,Kimberley,SRH,1,RR,0,SRH,bat,normal,SRH,53,1,1,1,2
96,156,2009,Centurion,Centurion,KKR,1,RCB,0,RCB,field,normal,RCB,0,0,0,0,2
97,157,2009,Centurion,Centurion,KXIP,1,MI,0,KXIP,bat,normal,MI,0,1,0,1,2
98,158,2009,Durban,Durban,DD,1,SRH,0,SRH,field,normal,DD,12,0,1,0,2
99,159,2009,Durban,Durban,CSK,1,RCB,0,CSK,bat,normal,RCB,0,1,0,1,2
100,160,2009,Durban,Durban,RR,1,MI,0,RR,bat,normal,RR,2,1,1,1,2
101,161,2009,Bloemfontein,Bloemfontein,DD,1,KXIP,0,KXIP,field,normal,KXIP,0,0,0,0,2
102,162,2009,Port Elizabeth,Port Elizabeth,MI,1,CSK,0,MI,bat,normal,CSK,0,1,0,1,2
103,163,2009,Johannesburg,Johannesburg,KKR,1,SRH,0,SRH,field,normal,SRH,0,0,0,0,2
104,164,2009,Johannesburg,Johannesburg,KXIP,1,SRH,0,SRH,field,normal,KXIP,1,0,1,0,2
105,165,2009,Bloemfontein,Bloemfontein,DD,1,RR,0,DD,bat,normal,DD,14,1,1,1,2
106,166,2009,Centurion,Centurion,CSK,1,KKR,0,CSK,bat,normal,KKR,0,1,0,1,2
107,167,2009,Johannesburg,Johannesburg,DD,1,RCB,0,DD,bat,normal,RCB,0,1,0,1,2
108,168,2009,Durban,Durban,RR,1,KKR,0,KKR,field,normal,KKR,0,0,0,0,2
109,169,2009,Durban,Durban,CSK,1,KXIP,0,CSK,bat,normal,CSK,24,1,1,1,2
110,170,2009,Centurion,Centurion,MI,1,DD,0,DD,field,normal,DD,0,0,0,0,2
111,171,2009,Centurion,Centurion,RCB,1,SRH,0,RCB,bat,normal,RCB,12,1,1,1,2
112,172,2009,Centurion,Centurion,DD,1,SRH,0,SRH,field,normal,SRH,0,0,0,0,2
113,173,2009,Johannesburg,Johannesburg,CSK,1,RCB,0,RCB,field,normal,RCB,0,0,0,0,2
114,174,2009,Johannesburg,Johannesburg,SRH,1,RCB,0,RCB,field,normal,SRH,6,0,1,0,2
115,175,2010,Mumbai,MI,KKR,1,SRH,0,SRH,field,normal,KKR,11,0,1,0,2
116,176,2010,Mumbai,MI,MI,1,RR,0,MI,bat,normal,MI,4,1,1,1,1
117,177,2010,Chandigarh,KXIP,KXIP,1,DD,0,DD,field,normal,DD,0,0,0,0,1
118,178,2010,Kolkata,KKR,RCB,1,KKR,0,KKR,field,normal,KKR,0,0,0,0,0
119,179,2010,Chennai,CSK,SRH,1,CSK,0,SRH,bat,normal,SRH,31,1,1,1,0
120,180,2010,Ahmedabad,Ahmedabad,RR,1,DD,0,DD,field,normal,DD,0,0,0,0,2
121,181,2010,Bangalore,RCB,KXIP,1,RCB,0,KXIP,bat,normal,RCB,0,1,0,1,0
122,182,2010,Kolkata,KKR,CSK,1,KKR,0,CSK,bat,normal,CSK,55,1,1,1,0
123,183,2010,Delhi,DD,MI,1,DD,0,DD,field,normal,MI,98,0,1,0,0
124,184,2010,Bangalore,RCB,RR,1,RCB,0,RCB,field,normal,RCB,0,0,0,0,0
125,185,2010,Delhi,DD,DD,1,CSK,0,DD,bat,normal,CSK,0,1,0,1,1
126,186,2010,Cuttack,Cuttack,SRH,1,KXIP,0,KXIP,field,normal,SRH,6,0,1,0,2
127,187,2010,Ahmedabad,Ahmedabad,RR,1,KKR,0,RR,bat,normal,RR,34,1,1,1,2
128,188,2010,Mumbai,MI,MI,1,RCB,0,MI,bat,normal,RCB,0,1,0,1,1
129,189,2010,Cuttack,Cuttack,SRH,1,DD,0,SRH,bat,normal,SRH,10,1,1,1,2
130,190,2010,Chennai,CSK,KXIP,1,CSK,0,CSK,field,tie,KXIP,0,0,1,0,0
131,191,2010,Mumbai,MI,KKR,1,MI,0,KKR,bat,normal,MI,0,1,0,1,0
132,192,2010,Bangalore,RCB,RCB,1,CSK,0,CSK,field,normal,RCB,36,0,1,0,1
133,193,2010,Chandigarh,KXIP,RR,1,KXIP,0,KXIP,field,normal,RR,31,0,1,0,0
134,194,2010,Mumbai,MI,CSK,1,MI,0,MI,field,normal,MI,0,0,0,0,0
135,195,2010,Ahmedabad,Ahmedabad,SRH,1,RR,0,SRH,bat,normal,RR,0,1,0,1,2
136,196,2010,Chandigarh,KXIP,KKR,1,KXIP,0,KKR,bat,normal,KKR,39,1,1,1,0
137,197,2010,Bangalore,RCB,DD,1,RCB,0,RCB,field,normal,DD,17,0,1,0,0
138,198,2010,Ahmedabad,Ahmedabad,RR,1,CSK,0,RR,bat,normal,RR,17,1,1,1,2
139,199,2010,Mumbai,MI,MI,1,SRH,0,SRH,field,normal,MI,41,0,1,0,1
140,200,2010,Delhi,DD,DD,1,KKR,0,DD,bat,normal,DD,40,1,1,1,1
141,201,2010,Mumbai,MI,KXIP,1,MI,0,MI,field,normal,MI,0,0,0,0,0
142,202,2010,Chennai,CSK,RCB,1,CSK,0,RCB,bat,normal,CSK,0,1,0,1,0
143,203,2010,Delhi,DD,DD,1,RR,0,DD,bat,normal,DD,67,1,1,1,1
144,204,2010,Kolkata,KKR,KKR,1,SRH,0,KKR,bat,normal,KKR,24,1,1,1,1
145,205,2010,Chandigarh,KXIP,KXIP,1,RCB,0,KXIP,bat,normal,RCB,0,1,0,1,1
146,206,2010,Chennai,CSK,CSK,1,RR,0,CSK,bat,normal,CSK,23,1,1,1,1
147,207,2010,Mumbai,MI,MI,1,SRH,0,MI,bat,normal,MI,63,1,1,1,1
148,208,2010,Kolkata,KKR,KKR,1,KXIP,0,KKR,bat,normal,KXIP,0,1,0,1,1
149,209,2010,Delhi,DD,DD,1,RCB,0,DD,bat,normal,DD,37,1,1,1,1
150,210,2010,Nagpur,Nagpur,RR,1,SRH,0,RR,bat,normal,RR,2,1,1,1,2
151,211,2010,Chennai,CSK,CSK,1,MI,0,CSK,bat,normal,CSK,24,1,1,1,1
152,212,2010,Jaipur,RR,KXIP,1,RR,0,KXIP,bat,normal,RR,0,1,0,1,0
153,213,2010,Kolkata,KKR,KKR,1,DD,0,KKR,bat,normal,KKR,14,1,1,1,1
154,214,2010,Bangalore,RCB,RCB,1,SRH,0,SRH,field,normal,SRH,0,0,0,0,1
155,215,2010,Chandigarh,KXIP,MI,1,KXIP,0,MI,bat,normal,KXIP,0,1,0,1,0
156,216,2010,Nagpur,Nagpur,CSK,1,SRH,0,CSK,bat,normal,SRH,0,1,0,1,2
157,217,2010,Bangalore,RCB,KKR,1,RCB,0,RCB,field,normal,RCB,0,0,0,0,0
158,218,2010,Delhi,DD,DD,1,KXIP,0,DD,bat,normal,KXIP,0,1,0,1,1
159,219,2010,Jaipur,RR,MI,1,RR,0,RR,field,normal,MI,37,0,1,0,0
160,220,2010,Nagpur,Nagpur,SRH,1,RCB,0,RCB,field,normal,SRH,13,0,1,0,2
161,221,2010,Mumbai,MI,MI,1,DD,0,MI,bat,normal,MI,39,1,1,1,1
162,222,2010,Chennai,CSK,KKR,1,CSK,0,KKR,bat,normal,CSK,0,1,0,1,0
163,223,2010,Jaipur,RR,RR,1,RCB,0,RR,bat,normal,RCB,0,1,0,1,1
