Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
Harbhajan Singh,11,11,41,0,266,8,Mar-22,33.25,6.48,30.7,0,0,2,0
KH Pandya,13,13,40,0,273,10,Mar-14,27.3,6.82,24,0,0,2,0
KV Sharma,9,9,30.4,0,214,13,Apr-16,16.46,6.97,14.1,1,0,3,0
MG Johnson,5,5,20,1,141,7,Mar-26,20.14,7.05,17.1,0,0,1,0
JJ Bumrah,16,16,59.2,2,440,20,03-Jul,22,7.41,17.8,0,0,2,0
HH Pandya,17,13,26,0,213,6,Feb-22,35.5,8.19,26,0,0,12,0
SL Malinga,12,12,44.5,0,382,11,02-May,34.72,8.52,24.4,0,0,1,0
MJ McClenaghan,14,14,54,0,507,19,Mar-24,26.68,9.38,17,0,0,1,0
TG Southee,3,3,10,1,96,3,Feb-39,32,9.6,20,0,0,1,0
R Vinay Kumar,1,1,3,0,31,2,Feb-31,15.5,10.33,9,0,0,0,0
KA Pollard,17,1,1.5,0,30,0,-,-,16.36,-,0,0,15,0
JC Buttler,10,-,-,-,-,-,-,-,-,-,-,-,1,0
PA Patel,16,-,-,-,-,-,-,-,-,-,-,-,6,2
N Rana,13,-,-,-,-,-,-,-,-,-,-,-,4,0
AT Rayudu,5,-,-,-,-,-,-,-,-,-,-,-,3,0
RG Sharma,17,-,-,-,-,-,-,-,-,-,-,-,10,0
LMP Simmons,7,-,-,-,-,-,-,-,-,-,-,-,2,0
SS Tiwary,1,-,-,-,-,-,-,-,-,-,-,-,0,0
