Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
AS Roy,1,1,2,0,11,1,01-Nov,11,5.5,12,0,0,0,0
RD Chahar,13,13,47,0,308,13,Mar-19,23.69,6.55,21.6,0,0,3,0
JJ Bumrah,16,16,61.4,1,409,19,Mar-20,21.52,6.63,19.4,0,0,2,0
J Yadav,2,2,7,0,50,1,Jan-25,50,7.14,42,0,0,2,0
KH Pandya,16,16,46,0,335,12,Mar-34,27.91,7.28,23,0,0,5,0
MJ McClenaghan,5,5,18,1,142,3,Mar-40,47.33,7.88,36,0,0,0,0
JP Behrendorff,5,5,19,0,165,5,Feb-22,33,8.68,22.8,0,0,0,0
HH Pandya,16,16,42.3,0,390,14,Mar-20,27.85,9.17,18.2,0,0,11,0
SL Malinga,12,12,44.5,0,438,16,Apr-31,27.37,9.76,16.8,2,0,1,0
M Markande,3,3,6,0,59,1,Jan-23,59,9.83,36,0,0,0,0
AS Joseph,3,3,8.4,1,87,6,06-Dec,14.5,10.03,8.6,0,1,1,0
Rasikh Salam,1,1,4,0,42,0,-,-,10.5,-,0,0,1,0
BB Sran,2,2,4,0,51,0,-,-,12.75,-,0,0,0,0
BCJ Cutting,3,1,2,0,27,1,Jan-27,27,13.5,12,0,0,0,0
Q de Kock,16,-,-,-,-,-,-,-,-,-,-,-,17,2
Ishan Kishan,7,-,-,-,-,-,-,-,-,-,-,-,2,0
SD Lad,1,-,-,-,-,-,-,-,-,-,-,-,0,0
E Lewis,3,-,-,-,-,-,-,-,-,-,-,-,3,0
KA Pollard,16,-,-,-,-,-,-,-,-,-,-,-,8,0
RG Sharma,15,-,-,-,-,-,-,-,-,-,-,-,4,0
SA Yadav,16,-,-,-,-,-,-,-,-,-,-,-,9,0
Yuvraj Singh,4,-,-,-,-,-,-,-,-,-,-,-,0,0
