Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Inns.1,Overs,Mdns,Runs.1,Wkts,BBI,Ave.1,Econ,SR.1,4,5,Ct,St
SE Marsh,4,4,1,147,88*,49,114,128.94,0,2,1,14,6,-,-,-,-,-,-,-,-,-,-,-,1,0
Yuvraj Singh,14,14,2,255,43,21.25,199,128.14,0,0,0,20,14,10,23,0,152,5,43882,30.4,6.6,27.6,0,0,2,0
DPMD Jayawardene,13,13,3,439,110*,43.9,298,147.31,1,1,1,55,11,-,-,-,-,-,-,-,-,-,-,-,5,0
RR Powar,7,2,1,5,3,5,8,62.5,0,0,0,0,0,7,23,0,160,3,43889,53.33,6.95,46,0,0,0,0
IK Pathan,14,13,5,276,60,34.5,186,148.38,0,1,0,21,10,14,46.2,0,426,15,43914,28.4,9.19,18.5,0,0,4,0
K Goel,6,2,1,18,17*,18,20,90,0,0,0,1,1,1,1,0,7,0,-,-,7,-,0,0,2,0
RS Bopara,10,9,1,248,77,31,214,115.88,0,2,1,25,3,5,13,0,127,5,43921,25.4,9.76,15.6,0,0,4,0
PP Chawla,14,6,1,62,22,12.4,60,103.33,0,0,0,7,0,14,49,0,367,12,43914,30.58,7.48,24.5,0,0,3,0
KC Sangakkara,13,12,0,357,56,29.75,257,138.91,0,2,1,47,5,-,-,-,-,-,-,-,-,-,-,-,6,5
J Theron,7,2,0,2,2,1,5,40,0,0,1,0,0,7,24,0,187,6,43878,31.16,7.79,24,0,0,1,0
MS Bisla,10,10,0,218,75,21.8,178,122.47,0,1,1,27,6,-,-,-,-,-,-,-,-,-,-,-,4,0
VS Malik,3,1,0,6,6,6,5,120,0,0,0,1,0,3,7.1,0,62,1,43853,62,8.65,43,0,0,0,0
L Ablish,2,-,-,-,-,-,-,-,-,-,-,-,-,2,4,0,36,3,43878,12,9,8,0,0,0,0
AB Barath,3,3,1,42,33,21,42,100,0,0,0,5,1,-,-,-,-,-,-,-,-,-,-,-,0,0
Bipul Sharma,5,2,2,9,8*,-,7,128.57,0,0,0,1,0,4,10,0,94,3,43849,31.33,9.4,20,0,0,2,0
SJ Srivastava,8,2,1,1,1*,1,2,50,0,0,1,0,0,8,27,0,255,6,43884,42.5,9.44,27,0,0,1,0
B Lee,4,3,2,11,7*,11,9,122.22,0,0,0,1,0,4,14.3,0,149,0,-,-,10.27,-,0,0,2,0
YA Abdulla,2,1,1,0,0*,-,1,0,0,0,0,0,0,2,6.5,0,66,1,43860,66,9.65,41,0,0,0,0
M Kaif,4,3,0,28,14,9.33,30,93.33,0,0,0,2,0,-,-,-,-,-,-,-,-,-,-,-,2,0
S Sreesanth,6,3,3,27,15*,-,21,128.57,0,0,0,5,0,6,19,0,191,3,43885,63.66,10.05,38,0,0,0,0
VRV Singh,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3,0,40,0,-,-,13.33,-,0,0,0,0
RS Sodhi,3,1,1,4,4*,-,2,200,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,2,0
S Sohal,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
