Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Inns.1,Overs,Mdns,Runs.1,Wkts,BBI,Ave.1,Econ,SR.1,4,5,Ct,St
MP Stoinis,7,5,1,146,52,36.5,108,135.18,0,1,1,13,4,7,23,0,194,8,43936,24.25,8.43,17.2,1,0,0,0
Anureet Singh,2,-,-,-,-,-,-,-,-,-,-,-,-,2,6,0,43,0,-,-,7.16,-,0,0,0,0
M Vijay,14,14,1,453,89,34.84,364,124.45,0,5,0,50,10,1,1,0,8,0,-,-,8,-,0,0,2,0
Sandeep Sharma,14,4,4,8,5*,-,9,88.88,0,0,0,0,0,14,50,1,366,15,43872,24.4,7.32,20,0,0,2,0
SE Marsh,6,6,1,159,56*,31.8,134,118.65,0,1,0,13,4,-,-,-,-,-,-,-,-,-,-,-,1,0
Gurkeerat Singh,7,6,1,113,51,22.6,86,131.39,0,1,1,11,3,3,4,0,31,2,43876,15.5,7.75,12,0,0,5,0
HM Amla,6,6,0,157,96,26.16,119,131.93,0,1,1,20,4,-,-,-,-,-,-,-,-,-,-,-,0,0
R Dhawan,2,2,2,14,11*,-,6,233.33,0,0,0,0,1,2,7,0,56,2,43851,28,8,21,0,0,0,0
WP Saha,12,12,1,270,56,24.54,212,127.35,0,2,0,29,1,-,-,-,-,-,-,-,-,-,-,-,7,3
M Vohra,7,7,0,161,51,23,131,122.9,0,1,1,19,3,-,-,-,-,-,-,-,-,-,-,-,3,0
AR Patel,14,10,3,111,36*,15.85,77,144.15,0,0,2,4,8,14,47.5,0,388,13,43942,29.84,8.11,22,1,0,2,0
P Sahu,5,2,1,19,18*,19,13,146.15,0,0,0,1,1,5,17.3,0,146,3,43879,48.66,8.34,35,0,0,0,0
GJ Maxwell,11,11,2,179,68,19.88,124,144.35,0,2,3,14,8,7,9,0,80,0,-,-,8.88,-,0,0,3,0
MM Sharma,14,6,2,32,15,8,26,123.07,0,0,0,3,1,14,48.3,0,407,13,43913,31.3,8.39,22.3,0,0,3,0
DA Miller,14,13,3,161,31,16.1,131,122.9,0,0,1,11,4,-,-,-,-,-,-,-,-,-,-,-,10,0
KC Cariappa,5,2,1,13,12*,13,11,118.18,0,0,0,0,1,5,17,0,159,3,43877,53,9.35,34,0,0,2,0
KJ Abbott,5,3,2,13,12*,13,8,162.5,0,0,1,0,1,5,16,0,177,2,13881,88.5,11.06,48,0,0,0,0
MG Johnson,3,3,1,5,4,2.5,14,35.71,0,0,0,0,0,3,11,0,106,2,12785,53,9.63,33,0,0,1,0
Swapnil Singh,1,1,0,0,0,0,1,0,0,0,1,0,0,1,3,0,29,0,-,-,9.66,-,0,0,0,0
NS Naik,2,2,0,23,22,11.5,31,74.19,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,2,0
F Behardien,3,3,1,14,9*,7,13,107.69,0,0,1,2,0,-,-,-,-,-,-,-,-,-,-,-,1,0
