Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
KP Pietersen,8,8,3,305,103*,61,207,147.34,1,1,0,22,20,3,6,0,53,0,-,-,8.83,-,0,0,3,0
RE van der Merwe,3,-,-,-,-,-,-,-,-,-,-,-,-,3,10,0,60,2,46784,30,6,30,0,0,1,0
DA Warner,8,8,1,256,109*,36.57,156,164.1,1,1,0,28,14,-,-,-,-,-,-,-,-,-,-,-,1,0
P Negi,8,4,2,36,14,18,29,124.13,0,0,0,4,1,6,22,0,152,7,43191,21.71,6.9,18.8,1,0,2,0
V Sehwag,16,16,1,495,87*,33,307,161.23,0,5,1,57,19,3,4,0,45,0,-,-,11.25,-,0,0,7,0
S Nadeem,12,1,1,0,0*,-,2,0,0,0,0,0,0,12,45,0,318,8,42430,39.75,7.06,33.7,0,0,3,0
Y Nagar,13,8,3,153,44*,30.6,133,115.03,0,0,1,13,3,1,1,0,10,0,-,-,10,-,0,0,4,0
M Morkel,16,4,2,3,2*,1.5,5,60,0,0,2,0,0,16,63,1,453,25,43922,18.12,7.19,15.1,1,0,1,0
DPMD Jayawardene,16,15,3,335,56*,27.91,298,112.41,0,3,1,39,3,-,-,-,-,-,-,-,-,-,-,-,6,0
GJ Maxwell,2,2,1,6,3*,6,11,54.54,0,0,0,0,0,2,3,0,22,1,44105,22,7.33,18,0,0,0,0
AJ Finch,2,2,0,55,30,27.5,51,107.84,0,0,0,8,0,-,-,-,-,-,-,-,-,-,-,-,0,0
UT Yadav,17,3,1,2,1*,1,7,28.57,0,0,1,0,0,17,61,2,453,19,43525,23.84,7.42,19.2,0,0,2,0
IK Pathan,17,12,5,176,42*,25.14,126,139.68,0,0,1,14,6,17,60,2,465,8,16834,58.12,7.75,45,0,0,8,0
AD Russell,4,2,0,47,31,23.5,26,180.76,0,0,0,3,3,4,16,0,161,1,18629,161,10.06,96,0,0,0,0
DAJ Bracewell,1,1,1,12,12*,-,9,133.33,0,0,0,1,0,1,4,0,32,3,11749,10.66,8,8,0,0,1,0
NV Ojha,18,16,5,255,64*,23.18,224,113.83,0,1,0,21,13,-,-,-,-,-,-,-,-,-,-,-,14,2
VR Aaron,8,2,0,1,1,0.5,3,33.33,0,0,1,0,0,8,31,0,271,8,43497,33.87,8.74,23.2,0,0,1,0
Y Venugopal Rao,10,7,1,132,36,22,126,104.76,0,0,0,8,5,2,2,0,26,0,-,-,13,-,0,0,0,0
LRPL Taylor,12,12,2,197,55,19.7,171,115.2,0,1,1,12,7,-,-,-,-,-,-,-,-,-,-,-,3,0
AB Agarkar,4,1,1,0,0*,-,0,-,0,0,0,0,0,4,14.2,0,134,3,46419,44.66,9.34,28.6,0,0,2,0
UBT Chand,2,2,0,36,18,18,34,105.88,0,0,0,2,3,-,-,-,-,-,-,-,-,-,-,-,1,0
Sunny Gupta,1,1,0,0,0,0,1,0,0,0,1,0,0,1,3,0,47,0,-,-,15.66,-,0,0,0,0
