Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table2.Inns,Table2.Overs,Table2.Mdns,Table2.Runs,Table2.Wkts,Table2.BBI,Table2.Ave,Table2.Econ,Table2.SR,Table2.4,Table2.5,Table2.Ct,Table2.St
MP Stoinis,10,10,6,211,46*,52.75,156,135.25,0,0,2,14,10,6,16.4,0,145,2,41275,72.5,8.7,50,0,0,2,0
S Dube,4,4,1,40,24,13.33,33,121.21,0,0,0,1,3,2,1.4,0,8,0,-,-,4.8,-,0,0,1,0
AB de Villiers,13,13,3,442,82*,44.2,287,154,0,5,0,31,26,-,-,-,-,-,-,-,-,-,-,-,6,0
MM Ali,11,10,2,220,66,27.5,133,165.41,0,2,0,16,17,9,25,0,169,6,43132,28.16,6.76,25,0,0,1,0
V Kohli,14,14,0,464,100,33.14,328,141.46,1,2,0,46,13,-,-,-,-,-,-,-,-,-,-,-,5,0
YS Chahal,14,3,1,6,4,3,16,37.5,0,0,0,0,0,14,49.2,1,386,18,13971,21.44,7.82,16.4,1,0,3,0
Gurkeerat Singh,3,3,0,98,65,32.66,70,140,0,1,0,11,2,-,-,-,-,-,-,-,-,-,-,-,1,0
Washington Sundar,3,2,0,1,1,0.5,3,33.33,0,0,1,0,0,3,9,0,74,4,45352,18.5,8.22,13.5,0,0,2,0
NA Saini,13,2,1,2,2,2,4,50,0,0,0,0,0,13,48,0,397,11,45323,36.09,8.27,26.1,0,0,3,0
PA Patel,14,14,0,373,67,26.64,268,139.17,0,2,1,48,10,-,-,-,-,-,-,-,-,-,-,-,6,2
DW Steyn,2,1,1,0,0*,-,0,-,0,0,0,0,0,2,8,0,69,4,47150,17.25,8.62,12,0,0,0,0
P Ray Barman,1,1,0,19,19,19,24,79.16,0,0,0,2,0,1,4,0,56,0,-,-,14,-,0,0,0,0
SO Hetmyer,5,5,0,90,75,18,73,123.28,0,1,1,4,7,-,-,-,-,-,-,-,-,-,-,-,3,0
P Negi,7,4,0,9,5,2.25,12,75,0,0,2,1,0,4,11.1,0,102,3,44228,34,9.13,22.3,0,0,3,0
C de Grandhomme,4,4,1,46,37,15.33,49,93.87,0,0,0,4,2,3,5,0,55,0,-,-,11,-,0,0,1,0
K Khejroliya,2,-,-,-,-,-,-,-,-,-,-,-,-,2,5,0,46,1,47119,46,9.2,30,0,0,0,0
Mohammed Siraj,9,4,3,4,3*,4,14,28.57,0,0,0,0,0,9,28.1,1,269,7,13912,38.42,9.55,24.1,0,0,2,0
UT Yadav,11,7,5,25,14,12.5,25,100,0,0,0,3,1,11,37.5,0,371,8,13210,46.37,9.8,28.3,0,0,4,0
AD Nath,8,5,0,61,24,12.2,57,107.01,0,0,0,5,2,-,-,-,-,-,-,-,-,-,-,-,1,0
H Klaasen,3,2,0,9,6,4.5,10,90,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
TG Southee,3,1,1,9,9*,-,9,100,0,0,0,0,0,3,9,0,118,1,45292,118,13.11,54,0,0,3,0
