Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table2.Inns,Table2.Overs,Table2.Mdns,Table2.Runs,Table2.Wkts,Table2.BBI,Table2.Ave,Table2.Econ,Table2.SR,Table2.4,Table2.5,Table2.Ct,Table2.St
Abhishek Sharma,3,3,2,63,46*,63,33,190.9,0,0,0,3,5,-,-,-,-,-,-,-,-,-,-,-,1,0
S Lamichhane,3,-,-,-,-,-,-,-,-,-,-,-,-,3,12,0,82,5,13210,16.4,6.83,14.4,0,0,0,0
HV Patel,5,2,1,60,36*,60,33,181.81,0,0,0,1,6,5,17.3,0,167,7,46813,23.85,9.54,15,0,0,0,0
A Mishra,10,1,1,1,1*,-,2,50,0,0,0,0,0,10,37,1,264,12,43525,22,7.13,18.5,0,0,0,0
V Shankar,13,11,7,212,54*,53,148,143.24,0,1,0,11,11,4,5,0,58,1,44562,58,11.6,30,0,0,6,0
R Tewatia,8,5,2,50,24,16.66,43,116.27,0,0,0,5,1,8,22,0,173,6,43160,28.83,7.86,22,0,0,2,0
RR Pant,14,14,1,684,128*,52.61,394,173.6,1,5,1,68,37,-,-,-,-,-,-,-,-,-,-,-,4,2
GJ Maxwell,12,12,0,169,47,14.08,120,140.83,0,0,0,14,9,10,16,0,132,5,44593,26.4,8.25,19.2,0,0,4,0
CH Morris,4,4,3,46,27*,46,26,176.92,0,0,0,3,2,4,14,0,143,3,15008,47.66,10.21,28,0,0,2,0
DT Christian,4,3,1,26,13,13,33,78.78,0,0,0,0,1,4,11.5,0,101,4,12816,25.25,8.53,17.7,0,0,0,0
SS Iyer,14,14,3,411,93*,37.36,310,132.58,0,4,0,29,21,-,-,-,-,-,-,-,-,-,-,-,5,0
TA Boult,14,1,0,0,0,0,2,0,0,0,1,0,0,14,52.4,1,466,18,43862,25.88,8.84,17.5,0,0,9,0
JJ Roy,5,5,1,120,91*,30,94,127.65,0,1,0,9,7,-,-,-,-,-,-,-,-,-,-,-,4,0
LE Plunkett,7,2,1,1,1*,1,3,33.33,0,0,1,0,0,7,25,0,225,4,42795,56.25,9,37.5,0,0,2,0
PP Shaw,9,9,0,245,65,27.22,160,153.12,0,2,0,27,10,-,-,-,-,-,-,-,-,-,-,-,4,0
G Gambhir,6,5,0,85,55,17,88,96.59,0,1,0,8,1,-,-,-,-,-,-,-,-,-,-,-,1,0
Mohammed Shami,4,1,0,7,7,7,6,116.66,0,0,0,1,0,4,13.5,0,144,3,47119,48,10.4,27.6,0,0,2,0
S Nadeem,6,1,1,6,6*,-,8,75,0,0,0,0,0,6,15,0,161,3,12451,53.66,10.73,30,0,0,1,0
Avesh Khan,6,-,-,-,-,-,-,-,-,-,-,-,-,6,19,0,204,4,47150,51,10.73,28.5,0,0,3,0
C Munro,5,5,0,63,33,12.6,41,153.65,0,0,2,7,4,-,-,-,-,-,-,-,-,-,-,-,2,0
CJ Dala,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3,0,34,0,-,-,11.33,-,0,0,0,0
NV Ojha,1,1,0,1,1,1,4,25,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
