Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
MEK Hussey,4,3,1,168,116*,84,100,168,1,0,0,12,11,-,-,-,-,-,-,-,-,-,-,-,2,0
M Ntini,9,2,1,11,11,11,18,61.11,0,0,0,2,0,9,35,2,242,7,44287,34.57,6.91,30,1,0,1,0
ML Hayden,4,4,1,189,81,63,131,144.27,0,2,0,24,6,-,-,-,-,-,-,-,-,-,-,-,0,0
M Muralitharan,15,1,0,0,0,0,3,0,0,0,1,0,0,15,58,0,404,11,14277,36.72,6.96,31.6,0,0,4,0
MS Dhoni,16,14,4,414,65,41.4,310,133.54,0,2,0,38,15,-,-,-,-,-,-,-,-,-,-,-,6,0
MS Gony,16,5,4,35,15*,35,23,152.17,0,0,0,2,3,16,60,3,443,17,12479,26.05,7.38,21.1,0,0,2,0
SK Raina,16,14,3,421,55*,38.27,295,142.71,0,3,0,35,18,2,3.2,0,30,1,43831,30,9,20,0,0,10,0
JA Morkel,13,10,3,241,71,34.42,163,147.85,0,1,0,18,14,13,48,0,399,17,11780,23.47,8.31,16.9,1,0,3,0
L Balaji,9,1,0,0,0,0,4,0,0,0,1,0,0,9,33,0,286,11,45413,26,8.66,18,0,1,1,0
S Badrinath,16,11,5,192,64,32,130,147.69,0,2,1,21,8,-,-,-,-,-,-,-,-,-,-,-,5,0
JDP Oram,4,3,2,18,13,18,12,150,0,0,0,1,1,4,16,0,149,3,11749,49.66,9.31,32,0,0,3,0
PA Patel,13,13,2,302,54,27.45,297,101.68,0,2,1,42,3,-,-,-,-,-,-,-,-,-,-,-,6,0
Joginder Sharma,8,3,1,16,16,8,11,145.45,0,0,1,1,1,7,24.4,0,239,8,46419,29.87,9.68,18.5,0,0,4,0
SP Fleming,10,10,1,196,45,21.77,165,118.78,0,0,1,27,3,-,-,-,-,-,-,-,-,-,-,-,2,0
P Amarnath,6,-,-,-,-,-,-,-,-,-,-,-,-,6,22,0,236,7,47150,33.71,10.72,18.8,0,0,2,0
S Vidyut,9,8,0,145,54,18.12,109,133.02,0,1,1,21,3,1,2,0,22,1,44562,22,11,12,0,0,1,0
CK Kapugedera,5,3,0,16,8,5.33,23,69.56,0,0,1,0,0,3,2.5,0,49,0,-,-,17.29,-,0,0,4,0
S Anirudha,1,1,0,1,1,1,7,14.28,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
A Mukund,2,1,0,0,0,0,1,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,3,0
