Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
HM Amla,10,10,3,420,104*,60,288,145.83,2,2,1,40,17,-,-,-,-,-,-,-,-,-,-,-,0,0
R Tewatia,3,2,1,19,15*,19,11,172.72,0,0,0,4,0,3,9,0,49,3,43132,16.33,5.44,18,0,0,0,0
SE Marsh,9,8,0,264,84,33,194,136.08,0,2,0,36,5,-,-,-,-,-,-,-,-,-,-,-,2,0
GJ Maxwell,14,13,3,310,47,31,179,173.18,0,0,3,19,26,8,19,0,125,7,42036,17.85,6.57,16.2,0,0,7,0
AR Patel,14,13,5,227,44,28.37,162,140.12,0,0,1,11,11,14,48,0,362,15,44138,24.13,7.54,19.2,0,0,7,0
VR Aaron,6,2,1,4,4,4,10,40,0,0,0,0,0,6,20,0,163,7,43892,23.28,8.15,17.1,0,0,0,0
DA Miller,5,4,1,83,30*,27.66,80,103.75,0,0,0,4,4,-,-,-,-,-,-,-,-,-,-,-,2,0
Sandeep Sharma,13,4,4,7,5*,-,6,116.66,0,0,0,0,0,13,48,0,398,17,43922,23.41,8.29,16.9,1,0,3,0
M Vohra,11,9,0,229,95,25.44,159,144.02,0,1,0,23,9,-,-,-,-,-,-,-,-,-,-,-,2,0
KC Cariappa,4,2,0,2,1,1,7,28.57,0,0,0,0,0,4,15,0,127,4,45323,31.75,8.46,22.5,0,0,1,0
WP Saha,14,11,1,234,93*,23.4,187,125.13,0,1,1,20,8,-,-,-,-,-,-,-,-,-,-,-,10,2
Swapnil Singh,4,2,0,12,10,6,19,63.15,0,0,0,0,0,4,7,0,61,1,41640,61,8.71,42,0,0,1,0
MJ Guptill,7,7,1,132,50*,22,88,150,0,1,1,17,5,-,-,-,-,-,-,-,-,-,-,-,6,0
MM Sharma,14,7,1,51,13,8.5,50,102,0,0,0,3,1,14,45.4,0,410,13,45323,31.53,8.97,21,0,0,3,0
T Natarajan,6,-,-,-,-,-,-,-,-,-,-,-,-,6,12.4,0,115,2,46023,57.5,9.07,38,0,0,0,0
EJG Morgan,4,4,0,65,26,16.25,62,104.83,0,0,0,6,2,-,-,-,-,-,-,-,-,-,-,-,3,0
I Sharma,6,3,1,8,5*,4,12,66.66,0,0,0,1,0,6,18,0,179,0,-,-,9.94,-,0,0,0,0
Anureet Singh,1,1,0,15,15,15,12,125,0,0,0,2,0,1,2,0,26,0,-,-,13,-,0,0,0,0
MP Stoinis,5,3,0,17,9,5.66,24,70.83,0,0,0,1,0,5,10.3,0,110,2,46753,55,10.47,31.5,0,0,3,0
MJ Henry,2,-,-,-,-,-,-,-,-,-,-,-,-,2,5,0,71,1,11324,71,14.2,30,0,0,0,0
Gurkeerat Singh,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0
