Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
LRPL Taylor,4,4,0,149,53,37.25,81,183.95,0,1,0,13,10,-,-,-,-,-,-,-,-,-,-,-,0,0
DW Steyn,10,2,1,2,1*,2,5,40,0,0,0,0,0,10,38,0,252,10,46447,25.2,6.63,22.8,0,0,4,0
MV Boucher,10,10,3,225,50*,32.14,177,127.11,0,1,0,24,6,-,-,-,-,-,-,-,-,-,-,-,3,1
B Akhil,7,7,4,46,27*,15.33,31,148.38,0,0,1,4,3,6,17.2,0,134,2,42767,67,7.73,52,0,0,3,0
R Dravid,14,14,1,371,75*,28.53,298,124.49,0,2,2,35,11,-,-,-,-,-,-,-,-,-,-,-,2,0
R Vinay Kumar,8,4,1,25,23,8.33,22,113.63,0,0,1,2,1,8,23,0,182,5,46447,36.4,7.91,27.6,0,0,2,0
SP Goswami,4,3,0,82,52,27.33,85,96.47,0,1,0,9,1,-,-,-,-,-,-,-,-,-,-,-,2,2
A Kumble,10,5,3,13,8,6.5,17,76.47,0,0,0,1,0,10,38.2,0,304,7,41699,43.42,7.93,32.8,0,0,4,0
W Jaffer,6,6,0,115,50,19.16,104,110.57,0,1,1,12,3,-,-,-,-,-,-,-,-,-,-,-,3,0
V Kohli,13,12,1,165,38,15,157,105.09,0,0,1,18,4,4,7.4,0,61,2,45689,30.5,7.95,23,0,0,2,0
JH Kallis,11,11,0,199,54,18.09,183,108.74,0,1,1,23,4,11,34.2,0,311,4,14277,77.75,9.05,51.5,0,0,3,0
P Kumar,13,12,2,112,34,11.2,98,114.28,0,0,2,10,6,13,44.4,1,366,11,44986,33.27,8.19,24.3,0,0,3,0
Misbah-ul-Haq,8,8,1,117,47*,16.71,81,144.44,0,0,2,10,6,-,-,-,-,-,-,-,-,-,-,-,1,0
Z Khan,11,8,4,34,17*,8.5,43,79.06,0,0,1,4,0,11,42,0,357,13,13940,27.46,8.5,19.3,0,0,1,0
CL White,8,8,1,114,31*,16.28,102,111.76,0,0,1,8,4,1,1,0,24,0,-,-,24,-,0,0,3,0
SB Joshi,4,2,0,6,3,3,14,42.85,0,0,0,0,0,4,9.1,0,82,1,46388,82,8.94,55,0,0,0,0
AA Noffke,1,1,0,9,9,9,10,90,0,0,0,1,0,1,4,0,40,1,14611,40,10,24,0,0,0,0
Abdur Razzak,1,1,1,0,0*,-,2,0,0,0,0,0,0,1,2,0,29,0,-,-,14.5,-,0,0,0,0
J Arunkumar,3,3,0,23,22,7.66,23,100,0,0,1,5,0,-,-,-,-,-,-,-,-,-,-,-,0,0
S Chanderpaul,3,3,0,25,16,8.33,31,80.64,0,0,0,4,0,-,-,-,-,-,-,-,-,-,-,-,0,0
B Chipli,3,3,0,20,10,6.66,28,71.42,0,0,0,3,0,-,-,-,-,-,-,-,-,-,-,-,1,0
DT Patil,2,2,0,13,9,6.5,13,100,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,2,0
