Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
LA Pomersbach,5,5,4,152,79*,152,99,153.53,0,1,0,13,9,-,-,-,-,-,-,-,-,-,-,-,1,0
IK Pathan,14,10,4,131,40,21.83,116,112.93,0,0,0,9,6,14,53,2,350,15,43132,23.33,6.6,21.2,0,0,4,0
SM Katich,2,2,1,96,75,96,69,139.13,0,1,0,11,2,-,-,-,-,-,-,-,-,-,-,-,0,0
B Lee,4,3,2,17,16*,17,13,130.76,0,0,1,2,1,4,16,0,112,4,44075,28,7,24,0,0,3,0
SE Marsh,11,11,2,616,115,68.44,441,139.68,1,5,0,59,26,-,-,-,-,-,-,-,-,-,-,-,3,0
RR Powar,5,1,1,28,28*,-,21,133.33,0,0,0,4,1,5,12,0,91,3,44593,30.33,7.58,24,0,0,2,0
KC Sangakkara,10,9,0,320,94,35.55,198,161.61,0,4,0,41,8,-,-,-,-,-,-,-,-,-,-,-,4,0
PP Chawla,15,7,3,90,24*,22.5,59,152.54,0,0,2,10,3,15,46.5,0,389,17,45717,22.88,8.3,16.5,0,0,6,0
WA Mota,4,2,1,26,25,26,27,96.29,0,0,0,2,0,2,3,0,36,1,45292,36,12,18,0,0,2,0
S Sreesanth,15,3,2,0,0*,0,3,0,0,0,1,0,0,15,51.1,0,442,19,47178,23.26,8.63,16.1,0,0,2,0
DPMD Jayawardene,13,12,5,179,45*,25.57,131,136.64,0,0,0,15,7,-,-,-,-,-,-,-,-,-,-,-,3,0
VRV Singh,13,2,0,4,4,2,3,133.33,0,0,1,1,0,13,48,0,420,11,47178,38.18,8.75,26.1,0,0,1,0
Yuvraj Singh,15,14,1,299,57,23,184,162.5,0,1,0,24,19,6,9,0,83,3,44167,27.66,9.22,18,0,0,7,0
JR Hopes,11,11,0,221,71,20.09,148,149.32,0,2,1,27,8,11,28,0,276,7,43863,39.42,9.85,24,0,0,3,0
Gagandeep Singh,4,-,-,-,-,-,-,-,-,-,-,-,-,4,14,0,141,3,12055,47,10.07,28,0,0,0,0
RR Sarwan,4,4,0,73,31,18.25,75,97.33,0,0,0,6,1,-,-,-,-,-,-,-,-,-,-,-,1,0
K Goel,7,6,0,76,26,12.66,78,97.43,0,0,0,7,4,1,2,0,25,0,-,-,12.5,-,0,0,2,0
P Dharmani,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
TM Srivastava,5,2,1,8,7,8,10,80,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,2,0
U Kaul,5,1,1,0,0*,-,1,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,2,0
S Sohal,2,2,0,4,4,2,8,50,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
