Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
DA Miller,12,12,5,418,101*,59.71,254,164.56,1,3,0,28,24,-,-,-,-,-,-,-,-,-,-,-,8,0
AC Gilchrist,13,13,1,294,85*,24.5,229,128.38,0,1,1,41,6,1,0.1,0,0,1,1/0,0,0,1,0,0,12,0
SE Marsh,8,8,0,300,77,37.5,249,120.48,0,3,0,39,4,-,-,-,-,-,-,-,-,-,-,-,3,0
Bipul Sharma,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4,0,21,1,44197,21,5.25,24,0,0,0,0
LA Pomersbach,3,3,1,58,33*,29,59,98.3,0,0,0,5,1,-,-,-,-,-,-,-,-,-,-,-,0,0
RJ Harris,3,2,1,2,2*,2,5,40,0,0,1,0,0,3,12,0,72,1,44166,72,6,72,0,0,0,0
AD Mascarenhas,1,1,1,5,5*,-,5,100,0,0,0,0,0,1,4,0,25,0,-,-,6.25,-,0,0,0,0
DJ Hussey,12,11,1,235,41,23.5,209,112.44,0,0,0,20,6,4,11,0,91,0,-,-,8.27,-,0,0,4,0
BA Bhatt,2,-,-,-,-,-,-,-,-,-,-,-,-,2,5,0,32,1,44136,32,6.4,30,0,0,0,0
R Sathish,9,8,3,109,27*,21.8,77,141.55,0,0,1,9,5,3,4,0,51,0,-,-,12.75,-,0,0,0,0
P Kumar,15,7,1,47,24,7.83,39,120.51,0,0,1,3,3,15,56.2,3,373,12,44106,31.08,6.62,28.1,0,0,1,0
M Vohra,12,10,2,161,43*,20.12,117,137.6,0,0,1,22,2,-,-,-,-,-,-,-,-,-,-,-,3,0
PP Chawla,16,11,5,64,23,10.66,57,112.28,0,0,1,5,3,16,58.2,0,418,11,43862,38,7.16,31.8,0,0,1,0
Mandeep Singh,16,14,1,260,77*,20,223,116.59,0,1,2,36,0,-,-,-,-,-,-,-,-,-,-,-,6,0
Sandeep Sharma,4,1,1,0,0*,-,1,0,0,0,0,0,0,4,16,1,119,8,44256,14.87,7.43,12,0,0,0,0
Azhar Mahmood,11,10,0,196,80,19.6,154,127.27,0,2,2,22,5,11,43.5,0,330,15,44256,22,7.52,17.5,0,0,1,0
Gurkeerat Singh,11,9,1,108,31,13.5,95,113.68,0,0,3,10,3,-,-,-,-,-,-,-,-,-,-,-,4,1
P Awana,14,5,3,1,1*,0.5,9,11.11,0,0,2,0,0,14,54,1,412,15,14305,27.46,7.62,21.6,0,0,1,0
MS Gony,8,5,1,45,42,11.25,25,180,0,0,2,4,3,8,28,0,256,7,45323,36.57,9.14,24,0,0,0,0
Harmeet Singh,3,1,0,3,3,3,4,75,0,0,0,0,0,3,11.2,0,87,5,45352,17.4,7.67,13.6,0,0,1,0
PC Valthaty,1,1,0,6,6,6,17,35.29,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
MG Neser,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4,0,62,0,-,-,15.5,-,0,0,0,0
