Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
J Yadav,3,3,7,0,29,2,1/8,14.5,4.14,21,0,0,1,0
S Nadeem,4,2,7,1,43,0,-,-,6.14,-,0,0,3,0
Z Khan,7,7,24.1,1,156,7,2/9,22.28,6.45,20.7,0,0,0,0
DJ Muthuswami,6,6,14,0,101,4,2/18,25.25,7.21,21,0,0,0,0
JP Duminy,14,9,17,0,126,8,4/17,15.75,7.41,12.7,1,0,8,0
NM Coulter-Nile,11,11,42.3,1,321,15,4/20,21.4,7.55,17,1,0,5,0
A Mishra,12,12,40.1,0,310,9,2/32,34.44,7.71,26.7,0,0,2,0
Yuvraj Singh,14,6,9,0,72,1,1/14,72,8,54,0,0,2,0
AD Mathews,11,10,30,0,246,7,2/15,35.14,8.2,25.7,0,0,5,0
Imran Tahir,10,10,35.3,0,314,15,4/28,20.93,8.84,14.2,1,0,3,0
JA Morkel,4,4,12,0,109,3,2/21,36.33,9.08,24,0,0,1,0
JD Unadkat,1,1,3,0,30,0,-,-,10,-,0,0,0,0
GS Sandhu,3,2,8,0,82,1,1/33,82,10.25,48,0,0,0,0
MA Agarwal,10,-,-,-,-,-,-,-,-,-,-,-,3,0
Q de Kock,3,-,-,-,-,-,-,-,-,-,-,-,0,0
CM Gautam,1,-,-,-,-,-,-,-,-,-,-,-,0,1
SS Iyer,14,-,-,-,-,-,-,-,-,-,-,-,2,0
KM Jadhav,14,-,-,-,-,-,-,-,-,-,-,-,6,2
MK Tiwary,5,-,-,-,-,-,-,-,-,-,-,-,2,0
SS Tiwary,7,-,-,-,-,-,-,-,-,-,-,-,5,0
