Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
RN ten Doeschate,6,1,1,0,4,0,-,-,4,-,0,0,1,0
GB Hogg,6,6,21,0,144,9,4/29,16,6.85,14,1,0,0,0
SP Narine,8,8,32,0,234,7,4/19,33.42,7.31,27.4,1,0,1,0
M Morkel,7,7,28,1,206,10,2/18,20.6,7.35,16.8,0,0,1,0
PP Chawla,13,13,35,0,269,11,4/32,24.45,7.68,19,1,0,2,0
AD Russell,13,13,40.4,0,324,14,3/32,23.14,7.96,17.4,0,0,6,0
J Botha,4,4,10,0,81,1,1/32,81,8.1,60,0,0,4,0
Shakib Al Hasan,4,4,14,0,123,4,2/22,30.75,8.78,21,0,0,0,0
UT Yadav,12,12,42,0,382,10,3/33,38.2,9.09,25.2,0,0,5,0
PJ Cummins,3,3,10,0,97,1,1/54,97,9.7,60,0,0,1,0
YK Pathan,13,5,10,0,97,2,2/40,48.5,9.7,30,0,0,3,0
Azhar Mahmood,1,1,3,0,41,0,-,-,13.66,-,0,0,0,0
KC Cariappa,1,1,2,0,28,1,1/28,28,14,12,0,0,0,0
G Gambhir,13,-,-,-,-,-,-,-,-,-,-,-,3,0
MK Pandey,13,-,-,-,-,-,-,-,-,-,-,-,5,0
RV Uthappa,13,-,-,-,-,-,-,-,-,-,-,-,7,5
SA Yadav,13,-,-,-,-,-,-,-,-,-,-,-,7,0
