Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
SP Narine,16,15,59,0,412,10,2/29,41.2,6.98,35.4,0,0,4,0
AS Rajpoot,5,5,14,0,107,4,3/37,26.75,7.64,21,0,0,1,0
NM Coulter-Nile,8,8,28.2,0,228,15,3/20,15.2,8.04,11.3,0,0,2,0
Kuldeep Yadav,12,11,41,0,340,12,2/25,28.33,8.29,20.5,0,0,1,0
C de Grandhomme,12,9,16,0,135,4,3/4,33.75,8.43,24,0,0,2,0
UT Yadav,14,14,48.3,0,410,17,4/33,24.11,8.45,17.1,1,0,4,0
CR Woakes,13,13,44,0,386,17,3/6,22.7,8.77,15.5,0,0,6,0
PP Chawla,6,6,20,0,179,6,2/34,29.83,8.95,20,0,0,1,0
TA Boult,6,6,23.5,0,216,5,2/30,43.2,9.06,28.6,0,0,0,0
YK Pathan,15,4,4,0,41,1,1/2,41,10.25,24,0,0,2,0
Shakib Al Hasan,1,1,3,0,31,0,-,-,10.33,-,0,0,0,0
DM Bravo,1,-,-,-,-,-,-,-,-,-,-,-,0,0
G Gambhir,16,-,-,-,-,-,-,-,-,-,-,-,6,0
SP Jackson,4,-,-,-,-,-,-,-,-,-,-,-,2,0
IR Jaggi,2,-,-,-,-,-,-,-,-,-,-,-,0,0
CA Lynn,7,-,-,-,-,-,-,-,-,-,-,-,2,0
MK Pandey,14,-,-,-,-,-,-,-,-,-,-,-,8,0
RV Uthappa,14,-,-,-,-,-,-,-,-,-,-,-,9,6
SA Yadav,10,-,-,-,-,-,-,-,-,-,-,-,5,0
