Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
MP Stoinis,10,10,6,211,46*,52.75,156,135.25,0,0,2,14,10
AB de Villiers,13,13,3,442,82*,44.2,287,154,0,5,0,31,26
V Kohli,14,14,0,464,100,33.14,328,141.46,1,2,0,46,13
Gurkeerat Singh,3,3,0,98,65,32.66,70,140,0,1,0,11,2
MM Ali,11,10,2,220,66,27.5,133,165.41,0,2,0,16,17
PA Patel,14,14,0,373,67,26.64,268,139.17,0,2,1,48,10
P Ray Barman,1,1,0,19,19,19,24,79.16,0,0,0,2,0
SO Hetmyer,5,5,0,90,75,18,73,123.28,0,1,1,4,7
C de Grandhomme,4,4,1,46,37,15.33,49,93.87,0,0,0,4,2
S Dube,4,4,1,40,24,13.33,33,121.21,0,0,0,1,3
UT Yadav,11,7,5,25,14,12.5,25,100,0,0,0,3,1
AD Nath,8,5,0,61,24,12.2,57,107.01,0,0,0,5,2
H Klaasen,3,2,0,9,6,4.5,10,90,0,0,0,0,0
Mohammed Siraj,9,4,3,4,3*,4,14,28.57,0,0,0,0,0
YS Chahal,14,3,1,6,4,3,16,37.5,0,0,0,0,0
P Negi,7,4,0,9,5,2.25,12,75,0,0,2,1,0
NA Saini,13,2,1,2,2,2,4,50,0,0,0,0,0
Washington Sundar,3,2,0,1,1,0.5,3,33.33,0,0,1,0,0
TG Southee,3,1,1,9,9*,-,9,100,0,0,0,0,0
