Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
S Lamichhane,3,3,12,0,82,5,3/36,16.4,6.83,14.4,0,0,0,0
A Mishra,10,10,37,1,264,12,3/19,22,7.13,18.5,0,0,0,0
R Tewatia,8,8,22,0,173,6,3/18,28.83,7.86,22,0,0,2,0
GJ Maxwell,12,10,16,0,132,5,2/22,26.4,8.25,19.2,0,0,4,0
DT Christian,4,4,11.5,0,101,4,2/35,25.25,8.53,17.7,0,0,0,0
TA Boult,14,14,52.4,1,466,18,2/20,25.88,8.84,17.5,0,0,9,0
LE Plunkett,7,7,25,0,225,4,3/17,56.25,9,37.5,0,0,2,0
HV Patel,5,5,17.3,0,167,7,3/28,23.85,9.54,15,0,0,0,0
CH Morris,4,4,14,0,143,3,2/41,47.66,10.21,28,0,0,2,0
Mohammed Shami,4,4,13.5,0,144,3,1/29,48,10.4,27.6,0,0,2,0
S Nadeem,6,6,15,0,161,3,2/34,53.66,10.73,30,0,0,1,0
Avesh Khan,6,6,19,0,204,4,2/29,51,10.73,28.5,0,0,3,0
CJ Dala,1,1,3,0,34,0,-,-,11.33,-,0,0,0,0
V Shankar,13,4,5,0,58,1,1/22,58,11.6,30,0,0,6,0
Abhishek Sharma,3,-,-,-,-,-,-,-,-,-,-,-,1,0
G Gambhir,6,-,-,-,-,-,-,-,-,-,-,-,1,0
SS Iyer,14,-,-,-,-,-,-,-,-,-,-,-,5,0
C Munro,5,-,-,-,-,-,-,-,-,-,-,-,2,0
NV Ojha,1,-,-,-,-,-,-,-,-,-,-,-,0,0
RR Pant,14,-,-,-,-,-,-,-,-,-,-,-,4,2
JJ Roy,5,-,-,-,-,-,-,-,-,-,-,-,4,0
PP Shaw,9,-,-,-,-,-,-,-,-,-,-,-,4,0
