Player,Batting Inns,Batting SR,100's,50's,Batting Average,Bowling Inns,Overs,Wickets,Bowling Average,Bowling SR
P Ray Barman,1,79.16,0,0,19,0,0,0,0,0
SO Hetmyer,5,123.28,0,1,18,0,0,0,0,0
C de Grandhomme,4,93.87,0,0,15.33,0,0,0,0,0
S Dube,4,121.21,0,0,13.33,0,0,0,0,0
UT Yadav,7,100,0,0,12.5,0,0,0,0,0
AD Nath,5,107.01,0,0,12.2,0,0,0,0,0
H Klaasen,2,90,0,0,4.5,0,0,0,0,0
Mohammed Siraj,4,28.57,0,0,4,0,0,0,0,0
YS Chahal,3,37.5,0,0,3,0,0,0,0,0
P Negi,4,75,0,0,2.25,0,0,0,0,0
NA Saini,2,50,0,0,2,0,0,0,0,0
Washington Sundar,2,33.33,0,0,0.5,0,0,0,0,0
TG Southee,1,100,0,0,0,0,0,0,0,0
DW Steyn,1,0,0,0,0,0,0,0,0,0
K Khejroliya,0,0,0,0,0,0,0,0,0,0
SPD Smith,10,116,0,3,39.87,0,0,0,0,0
JC Buttler,8,151.7,0,3,38.87,0,0,0,0,0
SV Samson,12,148.69,1,0,34.2,0,0,0,0,0
JC Archer,5,167.5,0,0,33.5,0,0,0,0,0
AM Rahane,13,137.89,1,1,32.75,0,0,0,0,0
R Parag,5,126.98,0,1,32,0,0,0,0,0
RA Tripathi,7,119.49,0,1,23.5,0,0,0,0,0
STR Binny,5,175,0,0,23.33,0,0,0,0,0
LS Livingstone,4,145.83,0,0,23.33,0,0,0,0,0
BA Stokes,9,124.24,0,0,20.5,0,0,0,0,0
S Gopal,7,136.95,0,0,15.75,0,0,0,0,0
MK Lomror,1,266.66,0,0,8,0,0,0,0,0
K Gowtham,4,94.73,0,0,6,0,0,0,0,0
IS Sodhi,1,54.54,0,0,6,0,0,0,0,0
AJ Turner,4,30,0,0,1,0,0,0,0,0
JD Unadkat,4,33.33,0,0,1,0,0,0,0,0
DS Kulkarni,1,166.66,0,0,0,0,0,0,0,0
VR Aaron,1,42.85,0,0,0,0,0,0,0,0
P Chopra,0,0,0,0,0,0,0,0,0,0
S Midhun,0,0,0,0,0,0,0,0,0,0
O Thomas,0,0,0,0,0,0,0,0,0,0
DA Warner,12,143.86,1,8,69.2,0,0,0,0,0
JM Bairstow,10,157.24,1,2,55.62,0,0,0,0,0
MK Pandey,11,130.79,0,3,43,0,0,0,0,0
MJ Guptill,3,152.83,0,0,27,0,0,0,0,0
KS Williamson,9,120,0,1,22.28,0,0,0,0,0
V Shankar,14,126.42,0,0,20.33,0,0,0,0,0
Mohammad Nabi,7,151.31,0,0,19.16,0,0,0,0,0
WP Saha,5,162.26,0,0,17.2,0,0,0,0,0
YK Pathan,8,88.88,0,0,13.33,0,0,0,0,0
DJ Hooda,7,101.58,0,0,10.66,0,0,0,0,0
Shakib Al Hasan,1,90,0,0,9,0,0,0,0,0
RK Bhui,1,58.33,0,0,7,0,0,0,0,0
Rashid Khan,8,147.82,0,0,6.8,0,0,0,0,0
Abhishek Sharma,3,100,0,0,4.5,0,0,0,0,0
B Kumar,5,63.15,0,0,4,0,0,0,0,0
KK Ahmed,1,0,0,0,0,0,0,0,0,0
S Kaul,2,0,0,0,0,0,0,0,0,0
Sandeep Sharma,2,200,0,0,0,0,0,0,0,0
Basil Thampi,1,100,0,0,0,0,0,0,0,0
S Nadeem,0,0,0,0,0,0,0,0,0,0
SK Raina,0,0,0,0,0,1,1,0,0,0
RA Jadeja,0,0,0,0,0,16,54,15,22.86,21.6
Imran Tahir,0,0,0,0,0,17,64.2,26,16.57,14.8
MJ Santner,0,0,0,0,0,4,14,4,23.5,21
Harbhajan Singh,0,0,0,0,0,11,44,16,19.5,16.5
DL Chahar,0,0,0,0,0,17,64.3,22,21.9,17.5
DJ Bravo,0,0,0,0,0,12,41.1,11,30,22.4
SC Kuggeleijn,0,0,0,0,0,2,8,2,35.5,24
MM Sharma,0,0,0,0,0,1,3,1,27,18
SN Thakur,0,0,0,0,0,9,30,8,35.12,22.5
KV Sharma,0,0,0,0,0,1,2.5,1,33,17
SW Billings,0,0,0,0,0,0,0,0,0,0
MS Dhoni,0,0,0,0,0,0,0,0,0,0
F du Plessis,0,0,0,0,0,0,0,0,0,0
KM Jadhav,0,0,0,0,0,0,0,0,0,0
AT Rayudu,0,0,0,0,0,0,0,0,0,0
DR Shorey,0,0,0,0,0,0,0,0,0,0
M Vijay,0,0,0,0,0,0,0,0,0,0
SR Watson,0,0,0,0,0,0,0,0,0,0
R Tewatia,0,0,0,0,0,3,6.2,2,21,19
A Mishra,0,0,0,0,0,11,40,11,24.54,21.8
J Suchith,0,0,0,0,0,1,4,2,14,12
AR Patel,0,0,0,0,0,14,51,10,36.4,30.6
I Sharma,0,0,0,0,0,13,46,13,26.84,21.2
K Rabada,0,0,0,0,0,12,47,25,14.72,11.2
TA Boult,0,0,0,0,0,5,19,5,32.6,22.8
SE Rutherford,0,0,0,0,0,6,6.5,1,59,41
KMA Paul,0,0,0,0,0,8,27.1,9,26.33,18.1
GH Vihari,0,0,0,0,0,1,1,0,0,0
S Lamichhane,0,0,0,0,0,6,23,8,26.25,17.2
CH Morris,0,0,0,0,0,9,33,13,23.53,15.2
HV Patel,0,0,0,0,0,2,8,2,38.5,24
Avesh Khan,0,0,0,0,0,1,3,0,0,0
S Dhawan,0,0,0,0,0,0,0,0,0,0
CA Ingram,0,0,0,0,0,0,0,0,0,0
SS Iyer,0,0,0,0,0,0,0,0,0,0
C Munro,0,0,0,0,0,0,0,0,0,0
RR Pant,0,0,0,0,0,0,0,0,0,0
PP Shaw,0,0,0,0,0,0,0,0,0,0
S Sandeep Warrier,0,0,0,0,0,3,12,2,42.5,36
SP Narine,0,0,0,0,0,12,44.2,10,34.7,26.6
Kuldeep Yadav,0,0,0,0,0,9,33,4,71.5,49.5
HF Gurney,0,0,0,0,0,8,27,7,34,23.1
PP Chawla,0,0,0,0,0,13,44.3,10,39.9,26.7
N Rana,0,0,0,0,0,6,8,3,24,16
M Prasidh Krishna,0,0,0,0,0,11,40.2,4,94.25,60.5
AD Russell,0,0,0,0,0,12,30.1,11,26.09,16.4
CR Brathwaite,0,0,0,0,0,2,3,0,0,0
LH Ferguson,0,0,0,0,0,5,17,2,91.5,51
Y Prithvi Raj,0,0,0,0,0,2,5,1,57,30
KC Cariappa,0,0,0,0,0,1,2,0,0,0
JL Denly,0,0,0,0,0,0,0,0,0,0
KD Karthik,0,0,0,0,0,0,0,0,0,0
CA Lynn,0,0,0,0,0,0,0,0,0,0
NS Naik,0,0,0,0,0,0,0,0,0,0
Shubman Gill,0,0,0,0,0,0,0,0,0,0
RK Singh,0,0,0,0,0,0,0,0,0,0
RV Uthappa,0,0,0,0,0,0,0,0,0,0
R Ashwin,0,0,0,0,0,14,55,15,26.66,22
M Ashwin,0,0,0,0,0,10,34,5,51,40.8
Mohammed Shami,0,0,0,0,0,14,54,19,24.68,17
AS Rajpoot,0,0,0,0,0,4,16,3,50.66,32
Harpreet Brar,0,0,0,0,0,2,5,0,0,0
GC Viljoen,0,0,0,0,0,6,23,7,31.71,19.7
SM Curran,0,0,0,0,0,9,33,10,32.3,19.8
Mujeeb Ur Rahman,0,0,0,0,0,5,19,3,63.66,38
AJ Tye,0,0,0,0,0,6,22,3,77.66,44
Arshdeep Singh,0,0,0,0,0,3,10,3,36.33,20
CV Varun,0,0,0,0,0,1,3,1,35,18
Mandeep Singh,0,0,0,0,0,2,2,0,0,0
SN Khan,0,0,0,0,0,1,0.2,0,0,0
MA Agarwal,0,0,0,0,0,0,0,0,0,0
CH Gayle,0,0,0,0,0,0,0,0,0,0
DA Miller,0,0,0,0,0,0,0,0,0,0
KK Nair,0,0,0,0,0,0,0,0,0,0
N Pooran,0,0,0,0,0,0,0,0,0,0
KL Rahul,0,0,0,0,0,0,0,0,0,0
P Simran Singh,0,0,0,0,0,0,0,0,0,0
AS Roy,0,0,0,0,0,1,2,1,11,12
RD Chahar,0,0,0,0,0,13,47,13,23.69,21.6
JJ Bumrah,0,0,0,0,0,16,61.4,19,21.52,19.4
J Yadav,0,0,0,0,0,2,7,1,50,42
KH Pandya,0,0,0,0,0,16,46,12,27.91,23
MJ McClenaghan,0,0,0,0,0,5,18,3,47.33,36
JP Behrendorff,0,0,0,0,0,5,19,5,33,22.8
HH Pandya,0,0,0,0,0,16,42.3,14,27.85,18.2
SL Malinga,0,0,0,0,0,12,44.5,16,27.37,16.8
M Markande,0,0,0,0,0,3,6,1,59,36
AS Joseph,0,0,0,0,0,3,8.4,6,14.5,8.6
Rasikh Salam,0,0,0,0,0,1,4,0,0,0
BB Sran,0,0,0,0,0,2,4,0,0,0
BCJ Cutting,0,0,0,0,0,1,2,1,27,12
Q de Kock,0,0,0,0,0,0,0,0,0,0
Ishan Kishan,0,0,0,0,0,0,0,0,0,0
SD Lad,0,0,0,0,0,0,0,0,0,0
E Lewis,0,0,0,0,0,0,0,0,0,0
KA Pollard,0,0,0,0,0,0,0,0,0,0
RG Sharma,0,0,0,0,0,0,0,0,0,0
SA Yadav,0,0,0,0,0,0,0,0,0,0
Yuvraj Singh,0,0,0,0,0,0,0,0,0,0
S Dube,0,0,0,0,0,2,1.4,0,0,0
MM Ali,0,0,0,0,0,9,25,6,28.16,25
YS Chahal,0,0,0,0,0,14,49.2,18,21.44,16.4
Washington Sundar,0,0,0,0,0,3,9,4,18.5,13.5
NA Saini,0,0,0,0,0,13,48,11,36.09,26.1
DW Steyn,0,0,0,0,0,2,8,4,17.25,12
MP Stoinis,0,0,0,0,0,6,16.4,2,72.5,50
P Negi,0,0,0,0,0,4,11.1,3,34,22.3
K Khejroliya,0,0,0,0,0,2,5,1,46,30
Mohammed Siraj,0,0,0,0,0,9,28.1,7,38.42,24.1
UT Yadav,0,0,0,0,0,11,37.5,8,46.37,28.3
C de Grandhomme,0,0,0,0,0,3,5,0,0,0
TG Southee,0,0,0,0,0,3,9,1,118,54
P Ray Barman,0,0,0,0,0,1,4,0,0,0
AD Nath,0,0,0,0,0,0,0,0,0,0
AB de Villiers,0,0,0,0,0,0,0,0,0,0
