Player,Batting Inns,Batting SR,100's,50's,Batting Average,Bowling Inns,Overs,Wickets,Bowling Average,Bowling SR,Points
Ishan Kishan,6,101,0,0,16.83,0,0,0,0,0,39
J Suchith,1,40,0,0,6,1,4,2,14,12,18
J Yadav,0,0,0,0,0,2,7,1,50,42,25.5
JC Archer,5,167.5,0,0,33.5,11,43,11,26.45,23.4,191
JC Buttler,8,151.7,0,3,38.87,0,0,0,0,0,164
JD Unadkat,4,33.33,0,0,1,11,37.2,10,39.8,22.4,103
JJ Bumrah,2,0,0,0,0,16,61.4,19,21.52,19.4,240.5
JL Denly,1,0,0,0,0,0,0,0,0,0,0
JM Bairstow,10,157.24,1,2,55.62,0,0,0,0,0,210.5
JP Behrendorff,0,0,0,0,0,5,19,5,33,22.8,71.5
K Gowtham,4,94.73,0,0,6,7,20,1,166,120,47.5
K Khejroliya,0,0,0,0,0,2,5,1,46,30,13.5
K Rabada,4,93.33,0,0,4.66,12,47,25,14.72,11.2,219
KA Pollard,14,156.74,0,1,34.87,0,0,0,0,0,132
KC Cariappa,1,300,0,0,0,1,2,0,0,0,4.5
KD Karthik,13,146.24,0,2,31.62,0,0,0,0,0,121.5
KH Pandya,15,122,0,0,16.63,16,46,12,27.91,23,211
KK Ahmed,1,0,0,0,0,9,34.5,19,15.1,11,153.5
KK Nair,1,83.33,0,0,5,0,0,0,0,0,0
KL Rahul,14,135.38,1,6,53.9,0,0,0,0,0,227.5
KM Jadhav,12,95.85,0,1,18,0,0,0,0,0,68
KMA Paul,6,75,0,0,3.6,8,27.1,9,26.33,18.1,104
KS Williamson,9,120,0,1,22.28,0,0,0,0,0,52.5
KV Sharma,0,0,0,0,0,1,2.5,1,33,17,7.5
Kuldeep Yadav,4,150,0,0,6,9,33,4,71.5,49.5,78
LH Ferguson,0,0,0,0,0,5,17,2,91.5,51,37
LS Livingstone,4,145.83,0,0,23.33,1,1,0,0,0,45.5
M Ashwin,3,60,0,0,3,10,34,5,51,40.8,84
M Markande,2,120,0,0,6,3,6,1,59,36,17
M Prasidh Krishna,1,0,0,0,0,11,40.2,4,94.25,60.5,114
M Vijay,2,104.91,0,0,32,0,0,0,0,0,21
MA Agarwal,13,141.88,0,2,25.53,0,0,0,0,0,131.5
MJ Guptill,3,152.83,0,0,27,0,0,0,0,0,37
MJ McClenaghan,4,68.75,0,0,3.66,5,18,3,47.33,36,60.5
MJ Santner,2,139.13,0,0,32,4,14,4,23.5,21,64
MK Lomror,1,266.66,0,0,8,0,0,0,0,0,7.5
MK Pandey,11,130.79,0,3,43,0,0,0,0,0,123.5
MM Ali,10,165.41,0,2,27.5,9,25,6,28.16,25,186
MM Sharma,1,0,0,0,0,1,3,1,27,18,11.5
MP Stoinis,10,135.25,0,0,52.75,6,16.4,2,72.5,50,114
MS Dhoni,12,134.62,0,3,83.2,0,0,0,0,0,175.5
Mandeep Singh,12,137.5,0,0,41.25,2,2,0,0,0,50
Mohammad Nabi,7,151.31,0,0,19.16,8,29.1,8,24.25,21.8,156.5
Mohammed Shami,2,50,0,0,1,14,54,19,24.68,17,198
Mohammed Siraj,4,28.57,0,0,4,9,28.1,7,38.42,24.1,98.5
Mujeeb Ur Rahman,3,0,0,0,0,5,19,3,63.66,38,50
N Pooran,6,157,0,0,28,0,0,0,0,0,76.5
N Rana,11,146.38,0,3,34.4,6,8,3,24,16,174
NA Saini,2,50,0,0,2,13,48,11,36.09,26.1,187
NS Naik,1,43.75,0,0,7,0,0,0,0,0,2.5
O Thomas,0,0,0,0,0,4,10,5,15.8,12,42
P Chopra,0,0,0,0,0,0,0,0,0,0,0
P Negi,4,75,0,0,2.25,4,11.1,3,34,22.3,45.5
P Ray Barman,1,79.16,0,0,19,1,4,0,0,0,7
P Simran Singh,1,94.11,0,0,16,0,0,0,0,0,8.5
PA Patel,14,139.17,0,2,26.64,0,0,0,0,0,175
PP Chawla,5,113.51,0,0,14,13,44.3,10,39.9,26.7,151.5
PP Shaw,16,133.71,0,2,22.06,0,0,0,0,0,149
Q de Kock,16,132.91,0,4,35.26,0,0,0,0,0,247.5
R Ashwin,6,150,0,0,8.4,14,55,15,26.66,22,180.5
R Parag,5,126.98,0,1,32,7,14,2,60.5,42,97.5
R Tewatia,4,118.18,0,0,26,3,6.2,2,21,19,49.5
RA Jadeja,9,120.45,0,0,35.33,16,54,15,22.86,21.6,234.5
RA Tripathi,7,119.49,0,1,23.5,0,0,0,0,0,47
RD Chahar,4,109.09,0,0,6,13,47,13,23.69,21.6,183
RG Sharma,15,128.57,0,2,28.92,0,0,0,0,0,175
RK Bhui,1,58.33,0,0,7,0,0,0,0,0,0
RK Singh,3,108.82,0,0,18.5,0,0,0,0,0,12
RR Pant,16,162.66,0,3,37.53,0,0,0,0,0,247
RV Uthappa,11,115.1,0,1,31.33,0,0,0,0,0,115
Rashid Khan,8,147.82,0,0,6.8,15,60,17,22.17,21.1,247.5
Rasikh Salam,1,125,0,0,0,1,4,0,0,0,10.5
S Dhawan,16,135.67,0,5,34.73,0,0,0,0,0,211
S Dube,4,121.21,0,0,13.33,2,1.4,0,0,0,18.5
S Gopal,7,136.95,0,0,15.75,14,48,20,17.35,14.4,213
S Kaul,2,0,0,0,0,7,27,6,40.33,27,79.5
S Lamichhane,1,0,0,0,0,6,23,8,26.25,17.2,80
