Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
YK Pathan,15,13,8,361,63*,72.2,248,145.56,0,3,0,33,13
G Gambhir,15,15,2,501,90*,38.53,411,121.89,0,5,1,54,6
MK Pandey,12,11,3,248,52,31,183,135.51,0,2,1,17,9
AD Russell,12,8,1,188,39*,26.85,114,164.91,0,0,0,10,15
RV Uthappa,15,15,0,394,72,26.26,289,136.33,0,3,1,45,8
SA Yadav,15,11,4,182,60,26,143,127.27,0,1,0,18,5
CA Lynn,2,2,1,25,15,25,22,113.63,0,0,0,0,1
Shakib Al Hasan,10,7,2,114,66*,22.8,106,107.54,0,1,0,7,5
C Munro,4,3,0,30,16,10,30,100,0,0,0,3,0
PP Chawla,12,3,0,27,11,9,26,103.84,0,0,0,4,0
UT Yadav,9,2,1,9,7*,9,5,180,0,0,0,0,1
R Sathish,4,3,0,24,10,8,24,100,0,0,0,1,1
SP Narine,11,4,3,7,4,7,13,53.84,0,0,0,0,0
JO Holder,4,4,0,22,13,5.5,19,115.78,0,0,1,2,1
M Morkel,10,2,2,1,1*,-,1,100,0,0,0,0,0
