Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
BJ Hodge,17,14,7,293,54*,41.85,218,134.4,0,1,0,27,9,1,1,0,3,0,-,-,3,-,0,0,6,0
SR Watson,16,16,2,543,101,38.78,380,142.89,1,2,0,59,22,13,41.4,0,298,13,44621,22.92,7.15,19.2,0,0,6,0
VS Malik,3,-,-,-,-,-,-,-,-,-,-,-,-,3,10,0,59,2,41671,29.5,5.9,30,0,0,0,0
AM Rahane,18,18,4,488,68*,34.85,458,106.55,0,4,0,42,11,-,-,-,-,-,-,-,-,-,-,-,10,0
A Chandila,8,1,1,4,4*,-,6,66.66,0,0,0,0,0,8,25,0,156,6,43984,26,6.24,25,0,0,4,0
STR Binny,17,16,7,293,41*,32.55,199,147.23,0,0,1,25,12,14,24,0,162,6,41671,27,6.75,24,0,0,3,0
R Dravid,18,17,1,471,65,29.43,425,110.82,0,4,0,64,5,-,-,-,-,-,-,-,-,-,-,-,3,0
JP Faulkner,16,9,4,57,19*,11.4,57,100,0,0,0,5,2,16,63.1,2,427,28,42491,15.25,6.75,13.5,0,2,3,0
SV Samson,11,10,2,206,63,25.75,178,115.73,0,1,2,19,5,-,-,-,-,-,-,-,-,-,-,-,13,0
SK Trivedi,17,2,1,3,3,3,7,42.85,0,0,0,0,0,17,59.5,1,410,12,44986,34.16,6.85,29.9,0,0,4,0
DH Yagnik,12,9,1,125,34,15.62,96,130.2,0,0,1,17,2,-,-,-,-,-,-,-,-,-,-,-,6,1
AA Chavan,3,-,-,-,-,-,-,-,-,-,-,-,-,3,9,0,63,1,46753,63,7,54,0,0,0,0
OA Shah,2,2,0,25,24,12.5,23,108.69,0,0,0,2,0,-,-,-,-,-,-,-,-,-,-,-,0,0
S Sreesanth,7,3,2,1,1*,1,4,25,0,0,1,0,0,7,21.4,2,163,5,43862,32.6,7.52,26,0,0,0,0
KK Cooper,14,5,1,39,26,9.75,22,177.27,0,0,1,4,2,14,54,0,449,19,42064,23.63,8.31,17,0,0,8,0
PV Tambe,3,1,1,3,3*,-,6,50,0,0,0,0,0,3,11,0,88,1,13881,88,8,66,0,0,0,0
MDKJ Perera,2,2,0,14,14,7,13,107.69,0,0,1,3,0,-,-,-,-,-,-,-,-,-,-,-,0,0
Sachin Baby,4,1,0,3,3,3,7,42.85,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,2,0
S Badree,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4,0,34,0,-,-,8.5,-,0,0,0,0
Harmeet Singh,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4,0,34,1,12420,34,8.5,24,0,0,0,0
AL Menaria,1,1,0,1,1,1,2,50,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
GB Hogg,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3.2,0,31,0,-,-,9.3,-,0,0,0,0
SW Tait,3,1,0,1,1,1,3,33.33,0,0,0,0,0,3,10,0,98,1,47119,98,9.8,60,0,0,0,0
R Shukla,3,1,1,1,1*,-,2,50,0,0,0,0,0,3,8,0,79,3,46784,26.33,9.87,16,0,0,2,0
