Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
R Vinay Kumar,16,5,4,70,26*,70,44,159.09,0,0,0,6,3,16,60.1,0,493,23,43160,21.43,8.19,15.6,0,0,8,0
R Rampaul,10,6,2,38,23*,9.5,37,102.7,0,0,3,3,1,10,37.4,4,261,13,11383,20.07,6.92,17.3,0,0,4,0
CH Gayle,16,16,4,708,175*,59,453,156.29,1,4,0,57,51,4,4,0,40,3,43953,13.33,10,8,0,0,3,0
M Kartik,11,2,1,2,2*,2,3,66.66,0,0,1,0,0,11,39,0,284,9,45323,31.55,7.28,26,0,0,4,0
V Kohli,16,16,2,634,99,45.28,457,138.73,0,6,0,64,22,-,-,-,-,-,-,-,-,-,-,-,7,0
JD Unadkat,13,2,2,2,1*,-,2,100,0,0,0,0,0,13,49,0,370,13,45778,28.46,7.55,22.6,0,1,1,0
MC Henriques,10,9,5,165,44,41.25,125,132,0,0,0,20,3,8,21.1,0,185,7,41671,26.42,8.74,18.1,0,0,5,0
M Muralitharan,6,-,-,-,-,-,-,-,-,-,-,-,-,6,23,0,177,3,43101,59,7.69,46,0,0,1,0
AB de Villiers,14,14,4,360,64,36,219,164.38,0,2,0,34,15,-,-,-,-,-,-,-,-,-,-,-,8,0
Z Khan,2,-,-,-,-,-,-,-,-,-,-,-,-,2,6,0,47,5,42826,9.4,7.83,7.2,1,0,1,0
SS Tiwary,9,6,2,109,52,27.25,106,102.83,0,1,0,4,4,-,-,-,-,-,-,-,-,-,-,-,2,0
CA Pujara,4,4,0,92,51,23,99,92.92,0,1,0,14,0,-,-,-,-,-,-,-,-,-,-,-,1,0
RP Singh,11,-,-,-,-,-,-,-,-,-,-,-,-,11,39.5,0,335,13,41334,25.76,8.41,18.3,0,0,4,0
A Mukund,1,1,0,19,19,19,21,90.47,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,0,0
AB McDonald,1,1,0,0,0,0,2,0,0,0,1,0,0,1,2,0,17,1,42736,17,8.5,12,0,0,0,0
TM Dilshan,5,5,0,76,33,15.2,93,81.72,0,0,1,12,0,1,1,0,10,0,-,-,10,-,0,0,2,0
KB Arun Karthik,12,5,2,41,19*,13.66,38,107.89,0,0,1,3,1,-,-,-,-,-,-,-,-,-,-,-,9,2
J Syed Mohammad,4,2,0,10,9,5,13,76.92,0,0,0,1,0,4,10,0,91,3,42036,30.33,9.1,20,0,0,0,0
MA Agarwal,5,5,0,67,29,13.4,62,108.06,0,0,0,6,3,-,-,-,-,-,-,-,-,-,-,-,3,0
DT Christian,2,2,0,6,4,3,15,40,0,0,0,0,0,2,6,0,55,0,-,-,9.16,-,0,0,0,0
KL Rahul,5,2,0,20,12,10,16,125,0,0,0,4,0,-,-,-,-,-,-,-,-,-,-,-,2,0
A Mithun,1,1,0,2,2,2,2,100,0,0,0,0,0,1,4,0,37,1,13516,37,9.25,24,0,0,0,0
KK Nair,2,2,0,9,9,4.5,12,75,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
