1,,369,,,,,,,
,Andre Russell ,,,,,,,,
144,Carlos Brathwaite ,8.5,,,,,,,
145,Karn Sharma ,7.5,,,,,,,
146,Anukul Roy ,7.5,,,,,,,
147,Mahipal Lomror ,7.5,,,,,,,
148,Barinder Sran ,7,,,,,,,
149,Prayas Ray Barman ,7,,,,,,,
150,Sudhesan Midhun ,6.5,,,,,,,
151,Siddhesh Lad ,6,,,,,,,
152,KC Cariappa ,4.5,,,,,,,
153,Sam Billings ,2.5,,,,,,,
154,Nikhil Naik ,2.5,,,,,,,
155,Dhruv Shorey ,0,,,,,,,
156,Hanuma Vihari ,0,,,,,,,
157,Karun Nair ,0,,,,,,,
158,Joe Denly ,0,,,,,,,
159,Prashant Chopra ,0,,,,,,,
160,Ashton Turner ,0,,,,,,,
161,Heinrich Klaasen ,0,,,,,,,
162,Ricky Bhui ,0,,,,,,,
