Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
CH Morris,12,7,4,195,82*,65,109,178.89,0,1,1,15,12
JP Duminy,10,8,3,191,49*,38.2,156,122.43,0,0,0,13,3
Q de Kock,13,13,1,445,108,37.08,327,136.08,1,3,0,52,13
KK Nair,14,12,2,357,83*,35.7,297,120.2,0,3,0,40,6
P Negi,8,6,4,57,19*,28.5,59,96.61,0,0,0,2,3
SV Samson,14,14,3,291,60,26.45,259,112.35,0,1,0,20,8
RR Pant,10,10,2,198,69,24.75,152,130.26,0,1,0,19,6
SW Billings,5,4,0,88,54,22,64,137.5,0,1,0,4,4
CR Brathwaite,8,6,0,83,34,13.83,38,218.42,0,0,0,6,8
MA Agarwal,3,3,0,27,10,9,25,108,0,0,0,3,1
SS Iyer,6,6,0,30,19,5,43,69.76,0,0,3,2,1
Imran Tahir,4,1,0,5,5,5,7,71.42,0,0,0,1,0
Z Khan,12,2,0,6,4,3,13,46.15,0,0,0,1,0
J Yadav,5,2,0,6,5,3,10,60,0,0,0,0,0
A Mishra,14,2,0,4,3,2,14,28.57,0,0,0,0,0
NM Coulter-Nile,4,2,2,9,7*,-,14,64.28,0,0,0,1,0
Mohammed Shami,8,2,2,2,2*,-,4,50,0,0,0,0,0
S Nadeem,4,1,1,1,1*,-,5,20,0,0,0,0,0
