Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Abhishek Sharma,3,3,2,63,46*,63,33,190.9,0,0,0,3,5
HV Patel,5,2,1,60,36*,60,33,181.81,0,0,0,1,6
V Shankar,13,11,7,212,54*,53,148,143.24,0,1,0,11,11
RR Pant,14,14,1,684,128*,52.61,394,173.6,1,5,1,68,37
CH Morris,4,4,3,46,27*,46,26,176.92,0,0,0,3,2
SS Iyer,14,14,3,411,93*,37.36,310,132.58,0,4,0,29,21
JJ Roy,5,5,1,120,91*,30,94,127.65,0,1,0,9,7
PP Shaw,9,9,0,245,65,27.22,160,153.12,0,2,0,27,10
G Gambhir,6,5,0,85,55,17,88,96.59,0,1,0,8,1
R Tewatia,8,5,2,50,24,16.66,43,116.27,0,0,0,5,1
GJ Maxwell,12,12,0,169,47,14.08,120,140.83,0,0,0,14,9
DT Christian,4,3,1,26,13,13,33,78.78,0,0,0,0,1
C Munro,5,5,0,63,33,12.6,41,153.65,0,0,2,7,4
Mohammed Shami,4,1,0,7,7,7,6,116.66,0,0,0,1,0
NV Ojha,1,1,0,1,1,1,4,25,0,0,0,0,0
LE Plunkett,7,2,1,1,1*,1,3,33.33,0,0,1,0,0
TA Boult,14,1,0,0,0,0,2,0,0,0,1,0,0
S Nadeem,6,1,1,6,6*,-,8,75,0,0,0,0,0
A Mishra,10,1,1,1,1*,-,2,50,0,0,0,0,0
